3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
271,Q2 2024/25,2024/06/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Platform Supply Vessel,African Marine Solutions Group,Internal Budget Increase,"R13 320 000,00","R18 315 000,00","R28 562 209,00",2024/06/27,2023/10/27,2024/06/30,Reported,
272,Q2 2024/25,2024/06/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Environmental Panel,Mills and Otten Environmental,Internal Budget Increase,"R200 236,00","R6 300 000,00","R0,00",2024/06/25,2020/07/01,2024/06/30,reported,
273,Q2 2024/25,2024/06/24,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Platform Supply Vessel,African Marine Solutions Group,Operational Requirement,"R19 005 679,00","R18 315 000,00","R9 556 530,00",2024/06/19,2023/10/27,2024/06/30,Reported,
274,Q2 2024/25,2024/07/05,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Civil Services,MDC Arendse Construction,Internal Budget Increase,"R224 568,04","R99 429,43","R0,00",2024/07/04,2024/07/04,2024/07/04,Reported,
275,Q2 2024/25,2024/06/26,Rand Water,"Supply and deliver of calcium hypochlirite(HTH) granules and
chips at Rand Water on an As and when basis for the period of
of 36 months",Ndulamiso Acqua Solutions,Contract period re-alignment and rates adjustment,"R6 595 250,00","R3 405 706,00","R10 000 956,00",2024/06/14,2024/11/30,2026/11/30,Reported,
276,Q2 2024/25,2024/07/10,South African Civil Aviation Authority (SACAA),Business Continuity Services,Resilient Innovation,Countinuation of service,"R755 040,00","R3 669 526,50","R0,00",2024/07/09,2024/07/01,2025/06/30,Reported,
277,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Burgersfort Office Rental,KMHT Properties Investments CC,Countinuation of service,"R99 300,00","R476 640,00","R0,00",2024/06/26,2024/05/01,2027/04/30,Reported,
278,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),CRS Integration to HC Suite,CRS Technologies,Countinuation of service,"R83 600,00","R672 000,00","R0,00",2024/06/26,2024/06/01,2024/07/31,Reported,
279,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Countinuation of service,"R1 859 068,00","R25 767 130,00","R6 172 523,00",2024/06/26,2021/07/01,2026/06/30,Reported,
280,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Countinuation of service,"R677 950,00","R30 431 602,00","R1 265 000,00",2024/06/26,2023/05/05,2028/07/31,Reported,
281,Q2 2024/25,2024/06/28,Perishable Products Export Control Board (PPECB),Microsoft Enterprise Agreement,Microsoft Ireland Operations Ltd,Countinuation of service,"R1 040 198,59","R63 722 317,25","R984 203,52",2024/06/26,2023/11/22,2025/12/31,Reported,
282,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",Genmed Services (Pty) Ltd,Continuation of service,"R341 850,00","R795 000,00","R795 000,00",2024/05/15,2023/05/28,2024/07/21,Reported,
283,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",Ultimate Projects and Management (Pty) Ltd,Continuation of service,"R154 880,00","R880 000,00","R880 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
284,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",Allnat Projects (Pty) Ltd,Continuation of service,"R375 998,00","R878 500,00","R878 500,00",2024/05/15,2024/05/28,2024/07/21,Reported,
285,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",Real Time Trading (PTY) LTD,Continuation of service,"R158 224,00","R899 000,00","R899 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
286,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",Fullswing Trading 458 (Pty) Ltd,Continuation of service,"R333 250,00","R775 000,00","R775 000,00",2024/05/15,2024/05/28,2024/07/21,Reported,
287,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of Allnat Projects (Pty) Ltd for the installation of five
hundred (500) units of solar water heaters also referred to as solar
geysers in Polokwane Municipality under the social component of the
National Solar Water Heater (NSWH) programme for a period of eight",KRYSP (Pty) Ltd,Continuation of service,"R152 270,00","R855 450,00","R855 450,00",2024/05/15,2024/05/28,2024/07/21,Reported,
288,Q2 2024/25,2024/07/10,Department of Mineral Resources and Energy (DMRE),"(8) months (Polokwane Municipality)
Appointment of a service provider to render sercurity guarding
services in the Department of Mineral Resources and Energy at Head
Office Matimba House building for a period of twenty-four (24) months",Mmampheng Costruction and Security Services,Extension of contract to finalise procurement process.,"R365 726,26","R4 388 721,12","R0,00",2024/05/13,2024/05/15,2024/07/14,Reported,
289,Q2 2024/25,2024/07/11,Amatola Water,"Supply and Delivery of Polymetric Chemicals for a period of 36
months",Protea Chemicals,Annual Price Adjustment,"R0,00","R0,00","R0,00",2024/04/09,Once off,Once off,Reported,
290,Q2 2024/25,2024/07/11,Amatola Water,"Procurement of a PSP to conduct Geotechnical Investigations for the
Lusikisiki Regional Water Supply Scheme (LRWSS): Zalu Dam",Delta Geotech (Pty) Ltd,"In terms of Clause 8.2.2 (a) of the Standard Professional
Services Contract, 3rd Edition of CIDB Document 1015, July
2009, Published by the Construction Industry Board (CIDB)","R291 370,00","R13 672 846,80","R0,00",2024/06/19,2024/08/30,2024/10/15,Reported,
291,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)","Appointment of a service provider to render Catering services for
DPWI/SANEDI Workshop being held on the 16th of May 2024",Empilweni Food Specialist,"The service provider has already been appointed to
render catering services, the additional scope
compliments their original scope as we had not fully
appreciated the requirements initially. The service","R11 040,00","R22 936,75","R0,00",2024/05/16,2024/05/16,2024/05/16,Reported,
292,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)",Legal Services for the period of 2 months,PPM Attorneys,"Additional scope of work that necessitated phase 1 and
phase 2 of the IP due diligence","R1 000 000,00","R300 000,00","R0,00",2024/05/28,2024/03/08,2024/06/30,Reported,
293,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)","Connecting Green Hydrogen Europe 2024(CGHE2024), Hydrogen
Summit",Leader Associates Inc.,"Initially when the submission was made it only comprised
of 4 people attending the conference. The decision was
made by the management, one more person will join us
for the conference. Now this submission is requesting","R29 441,70","R117 767,03","R0,00",2024/05/23,2024/06/26,2024/06/27,Reported,
294,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)","Supply, delivery and installation of a Videowall",Radiyakamoka Projects (Pty) Ltd,"The correct procurement processes were followed and
Radiyakamoka Projects (Pty) Ltd was appointed to install
in the Block D building, however, delays in the SANEDI
Block B are due to the following reasons: Construction in","R32 680,00","R196 408,31","R0,00",2024/07/01,Not stated,Not stated,Reported,
295,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)",Contract Variation with SNG Grant Thornton,SNG Grant Thornton,"For continuity purposes with the current service provider.
This process will be more time efficient and cost-efficient
compared to starting the procurement process from
scratch","R55 200,00","R110 400,00","R0,00",2024/07/01,Not stated,Not stated,Reported,
296,Q2 2024/25,2024/07/12,"South African National Energy Development Institute
(SANEDI)","Contract variation for Printetc as an Appliance Label redesign service
provider to conduct a market research",Printetc,"The additional scope for conduction of market analysis
was added as the contract is still valid and there is no
sufficient to go out to the market","R76 113,58","R380 567,88","R0,00",2024/07/01,Not stated,Not stated,Reported,
297,Q2 2024/25,2024/07/17,Department of Basic Education (DBE),"Rendering of travel and accommodation arrangements for the
department",Atlantis Corporate Travel (Pty) Ltd,"The department is currently finalising the appointment of
a service provider","R149 763,00","R4 743 140,80","R700 646,00",2020/11/17,2024/06/01,2024/09/30,Reported,
298,Q2 2024/25,2024/07/17,Department of Basic Education (DBE),Mimecast services,SMS ICT Choice,SITA still finalising a new tender,"R36 245,70","R1 304 845,20","R434 948,40",2023/06/21,2024/06/01,2024/06/30,Reported,
299,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),Support and FNB banking services implementation,Tegra Solutions (Pty),"There is an urgent need for the services of
Perago/Trustlink to transit the banking services links
from ABSA to FNB. FNB contract is a new contract and
requires the services under Perago/Trustlink evergreen","R50 442,28","R65 000,00","R0,00",2024/07/15,2023/11/20,2024/11/19,Reported,
300,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),Office Lease,SKG Africa (Pty)Ltd,"An extension request is to give the organisation time to
finalize the implementation of the New Operational
Model. As per the project implementation plan, the roll-
out of the new CEC office for Bloemfontein is only","R2 748 592,92","R6 773 208,14","R0,00",2024/07/15,2019/07/01,2025/12/31,Reported,
301,Q2 2024/25,2024/07/15,Road Accident Fund (RAF),"Rental and support of ICT End-user
equipment",Sizwe Africa IT,"An extension of contract to allow for onboarding and
discussions with the new service provider regarding
timelines of delivery of the replacement devices.","R2 371 223,24","R49 500 000,00","R15 339 640,33",2024/07/15,2017/12/19,2024/09/14,Reported,
302,Q2 2024/25,2024/07/19,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",SIM Cards - 2024_2025,Telkom SA,Operational Requirements,"R16 416,00","R28 944,00","R20 000,00",2024/07/15,2024/08/01,2025/07/31,Reported,
303,Q2 2024/25,2024/07/19,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Surveying Services,Orik,Operational Requirements,"R196 000,00","R4 367 596,47","R0,00",2024/07/18,2022/05/01,2024/08/31,Reported,
304,Q2 2024/25,2024/07/19,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Pathology Services,"Drs Dietrich, Voigt, Mia and Partners",Operational Requirements,"R0,00","R3 500 000,00","R0,00",2024/07/18,2024/05/01,2024/08/31,Reported,
305,Q2 2024/25,2024/06/26,Magalies Water,Security Solutions guarding security services,Bamogale Security Services,Continuity of service whilst the bid is underway,"R4 417 171,62","R41 906 665,05","R41 906 665,05",2024/03/24,2024/03/24,2024/04/30,Reported,
306,Q2 2024/25,2024/06/26,Magalies Water,operations and maintenance,Tlhomphanang Business Enterprise,Contract extension,"R1 403 116,08","R0,00","R1 403 116,08",2024/06/18,2024/06/21,2024/09/20,Reported,
307,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Tswane Lease Agreement,SKG Pty Ltd,Continuity of service - tender pricess underway,"R833 880,48","R6 658 885,43","R876 300,00",2024/05/30,2024/05/01,2024/10/31,Reported,
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
308,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Secunda Lease Agreement,Vestspruit Suites (PTY) LTD,Continuity of service - tender pricess underway,"R1 143 338,94","R8 350 188,50","R1 897 564,90",2024/05/30,2024/06/01,2024/11/30,Reported,
309,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Polokwane Lease Agreement,Sebolaise Property Service,Continuity of service - tender pricess underway,"R1 130 551,98","R7 779 926,52","R1 736 789,98",2024/05/30,2024/06/01,2024/11/30,Reported,
310,Q2 2024/25,2024/06/24,National Youth Development Agency (NYDA),Witbank Lease Agreement,MPH Properties and Projects,Continuity of service - tender pricess underway,"R876 300,00","R5 871 535,77","R1 460 500,00",2024/05/30,2024/06/01,2024/11/30,Reported,
311,Q2 2024/25,2024/07/23,Railway Safety Regulator (RSR),Conference Management Mobile App,Rise Up Productions Trading (PTY) LTD,Continuity of service,"R304 750,00","R776 767,50","R0,00",2024/07/16,2024/07/16,2024/10/02,Reported,
312,Q2 2024/25,2024/07/23,Railway Safety Regulator (RSR),Provision of various temp resources,"Pachedu Trading t/a People Dynamics Human
Solutions",Continuity of service,"R548 578,28","R925 604,79","R0,00",2024/07/19,2024/08/01,2024/11/30,Reported,
313,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,"Appointment of legal practitioners to be on As and when required
services As and when required services a panel of attorneys for a
period of three (3) years",Various service providers (19 attorneys on the panel),"The procurement process (evaluation) took longer than
anticipated as received many proposals","R44 128,13","R0,00","R0,00",2024/04/11,2024/04/15,2024/05/14,Reported,
314,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,"Provision of consulting services to develop a human resource strategy
for the Ports Regulator of South Africa",Century Business Academy (Pty) Ltd,"The service provider has not yet finalised the strategy and is
still working on it","R0,00","R0,00","R0,00",2024/03/20,2024/04/01,2024/06/30,"Reported
Reported",
315,Q2 2024/25,2024/06/30,Ports Regulator of South Africa,"Appointment of legal practitioners to be on a panel of attorneys for a
period of three (3) years",PKX Attorneys,"The service provider has pending matters that they are still
dealing with","R15 295,00","R0,00","R0,00",2024/05/15,2024/05/15,2025/01/14,Reported,
316,Q2 2024/25,2024/07/29,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",FA Platform Voice & Data (PtP),Business Connexion,Operational Requirements,"R375 000,00","R2 289 326,47","R1 914 326,47",2024/07/22,2019/10/01,2024/10/31,Reported,
317,Q2 2024/25,2024/07/29,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Platform Vessel Supply,African Marine Solutions Group,Operational Requirements,"R22 094 352,00","R18 315 000,00","R41 882 209,00",2024/07/25,2023/10/27,2024/09/30,Reported,
318,Q2 2024/25,2024/07/29,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Renewal of InsightSoftware,InsightSoftware South Africa,Operational Requirements,"R81 560,29","R508 274,00","R140 893,00",2024/07/26,2017/04/21,2025/04/20,Reported,
319,Q2 2024/25,2024/08/05,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",FuelLine Services,NNCD Trading,Budget Increase,"R400 048,76","R2 410 000,00","R963 558,00",2024/07/30,2023/05/05,2024/06/30,Reported,
320,Q2 2024/25,2024/08/05,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",FuelLine Services,SPM Aircraft FuelLine Services,Budget Increase,"R200 024,38","R2 410 000,00","R963 558,00",2024/07/30,2023/05/04,2024/06/30,Reported,
321,Q2 2024/25,2024/08/05,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",DataScience Storage Rental,Data Science Corporation,Operational Requirements,"R105 113,12","R57 349,73","R61 700,00",2024/07/31,2024/07/31,2025/02/28,Reported,
322,Q2 2024/25,2024/08/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",InfoConnect MPLS VPN Service,Dimension Data,Operational Requirements,"R25 000,00","R270 900,00","R0,00",2024/08/05,2024/07/01,2025/03/31,Reported,
323,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Burgersfort Office Rental,KMHT Properties Investments CC,Operational Requirements,"R99 300,00","R476 640,00","R0,00",2024/07/28,2024/04/29,2027/04/30,Reported,
324,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),CRS Integration to HC Suite,CRS Technologies,Operational Requirements,"R83 600,00","R672 000,00","R0,00",2024/07/28,2024/05/24,2024/07/31,Reported,
325,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Operational Requirements,"R1 859 068,00","R25 767 130,00","R6 172 523,00",2024/07/28,2024/05/16,2026/06/30,Reported,
326,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Operational Requirements,"R677 950,00","R30 431 602,00","R1 265 000,00",2024/07/28,2024/05/30,2028/07/31,Reported,
327,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Microsoft Enterprise Agreement,Microsoft Ireland Operations Ltd,Operational Requirements,"R1 040 198,59","R63 722 317,25","R984 203,52",2024/07/28,2024/06/12,2025/12/31,Reported,
328,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Oracle HCM Suite,Oracle Corporation (South Africa),Operational Requirements,"R110 919,00","R30 431 602,00","R1 942 950,00",2024/07/28,2024/06/21,2028/07/31,Reported,
329,Q2 2024/25,2024/07/28,Perishable Products Export Control Board (PPECB),Altron Karabina Dynamics 365 Implementation,Altron Karabina,Operational Requirements,"R293 451,00","R25 767 130,00","R8 031 592,00",2024/07/28,2024/07/23,2026/06/30,Reported,
330,Q2 2024/25,2024/08/16,Road Traffic Infringement Agency (RTIA),Extension of lease agreement for 1 month,Axis Properties,Yet to conclude a new contract,"R763 487,09","R3 053 948,36","R763 487,09",2024/07/30,2024/08/01,2024/08/31,Reported,
331,Q2 2024/25,2024/08/16,Road Traffic Infringement Agency (RTIA),Offsite storage of documents,Tidy Files/Metrofile,"Services still required while relocation process yet to be
concluded","R105 800,00","R221 524,36","R0,00",2024/07/16,2024/07/16,2026/06/27,Reported,
332,Q2 2024/25,2024/08/01,Road Accident Fund (RAF),Lease Extension for Gheberha Service Centre (CSC) Offices,Premier Precision Properties (Pty)Ltd,Operational Requirements,"R591 660,97","R1 239 138,76","R517 446,46",2024/08/01,2024/07/24,2025/09/30,Reported,
333,Q2 2024/25,2024/08/19,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",2024/25 Local Insurance Renewal Premiums,AON South Africa,Operational Requirements,"R13 887 975,25","R6 000 000,00","R0,00",2024/08/13,2024/02/01,2027/01/31,Reported,
334,Q2 2024/25,2024/08/08,Railway Safety Regulator (RSR),Legal Representation at the CCMA and Labour Court,Moja Sibiya Attorneys,Continuation of legal representation,"R1 200 000,00","R1 000 000,00","R0,00",2024/07/24,2024/07/24,Not stated,Reported,
335,Q2 2024/25,2024/08/27,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",SAP Resources for Services on emergency,PTP Integrated,Operational Requirement - Urgent Requirement,"R95 000,00","R40 000,00","R0,00",2024/08/21,2024/08/21,2024/08/21,Reported,
336,Q2 2024/25,2024/08/27,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Soil Contamination Assessment,Geo Pollution Technologies - Gauteng,Internal Budget Increase (for emergency),"R151 135,00","R86 526,00","R0,00",2024/08/26,2024/08/26,2024/08/26,Reported,
337,Q2 2024/25,2024/08/27,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Armed Guard Security - Mossel Bay,Excellerate Services,Exercised option per contract,"R22 545 428,00","R70 000 000,00","R0,00",2024/08/23,2021/01/15,2025/01/15,Reported,
338,Q2 2024/25,2024/08/27,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Gardening Services,Mazikhule Projects,Operational Requirement,"R616 000,00","R3 137 400,00","R0,00",2024/08/23,2023/09/01,2024/10/31,Reported,
339,Q2 2024/25,2024/09/02,Department of Basic Education (DBE),Mimecast services,SMS ICT Choice,"Services still required while new tender process yet to be
concluded","R36 245,70","R1 304 845,20","R471 194,10",2023/06/21,2024/07/01,2024/07/31,Reported,
340,Q2 2024/25,2024/08/19,Perishable Products Export Control Board (PPECB),"Variation of the contract value of KMHT Properties Investments CC for
the rental office in Burgersfort.",Burgersfort Office Rental,Operational Requirement,"R99 300,00","R476 640,00","R0,00",2024/08/19,2024/04/29,2027/04/30,Reported,
341,Q2 2024/25,2024/08/19,Perishable Products Export Control Board (PPECB),"Extension / Variation of current lease to allow sufficient time for
competitive tender process.",Tzaneen Office Rental,Operational Requirement,"R146 775,00","R959 274,00","R0,00",2024/08/19,2024/07/31,2024/12/31,Reported,
342,Q2 2024/25,2024/08/02,Road Accident Fund (RAF),Security Services At The Main Gate,Marumofase Private Security Pty (Ltd),Operational Requirement,"R189 495,16","R568 485,48","R0,00",2024/08/19,2024/08/13,Not stated,Reported,
343,Q2 2024/25,2024/09/02,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Platform Supply Vessel,African Marine Solutions Group,Operational Requirements,"R2 144 150,00","R18 315 000,00","R63 976 561,00",2024/08/23,2023/10/27,2024/09/30,Reported,
344,Q2 2024/25,2024/09/02,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Fuelline Service,NNCD Trading,Internal Budget Increase,"R524 875,74","R2 410 000,00","R1 363 606,76",2024/09/02,2023/05/05,2024/06/30,Reported,
345,Q2 2024/25,2024/09/02,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Fuelline Service,SPM Aircraft Fuelline Services,Internal Budget Increase,"R724 900,12","R2 410 000,00","R1 163 582,38",2024/09/02,2023/05/04,2024/06/30,Reported,
346,Q2 2024/25,2024/09/09,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Scaffolding Service,Southey Contracting,Operational Requirement,"R4 900 000,00","R72 195 955,81","R0,00",2024/09/06,2020/03/01,2024/09/30,Reported,
"Q2 2024/25
347
Q2 2024/25
348
Q2 2024/25
349
Q2 2024/25
350
Q2 2024/25
351",,"2024/09/09
2024/09/10
2024/09/09
2024/06/17
2024/06/18","South African Health Products Regulatory Authority
(SAPHRA)
Department of Basic Education (DBE)
Railway Safety Regulator (RSR)
Compensation Fund
Sentech","Vehicle Tracking Service Tracker Connect
Travel and accommodation arrangement Atlantis Corporate Travel
Supply of victuals bed line, cutlery and other cosumables Tarowx and Taiwateb
None for the period under review
Iron Mountain South Africa
Motivation to request approval for the contract extension for ELEV8 Group",,"Addidtional tracker installations
Services still required while new tender process yet to be
concluded
Continuity of service whilst the bid is underway
Contract Term extension
To allow for the finalisation of the After-Market Support","R52 201,80
R224 375,00
R0,00
R0,00
R285 548,28","R177 486,12
R4 743 140,80
R5 371 607,64
R0,00
R1 284 967,28","R0,00
R850 409,00
R0,00
R0,00
R0,00","2024/09/02
2020/11/17
2021/07/29
2024/05/31
2024/05/15","2024/03/01
2024/07/01
2021/09/01
2024/07/01
2024/06/01","2027/03/31
2024/09/30
2024/08/31
2025/06/30
2024/07/31","Reported
Reported
Reported
Reported
Reported",
Number,"Period / Quarter (Use
dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)",
"356
357","Q2 2024/25
Q2 2024/25","2024/06/25
2024/06/25","Government Technical Advisory Centre (GTAC)
Government Technical Advisory Centre (GTAC)","For the provision of technical advisory services to the
For the provision of technical advisory services to the
government technical advisory centre (gtac) for the
intergovernmental relations (igr) division to support in the
implementation of the municipal finance improvement
programme (mfip) phase iiix: budget and revenue management
advisor","Jan Johannes Marthinus Hanse
Ayema Xpertrix Consulting CC","The contract was extended for eighteen (18) months in
The contract was extended for eighteen (18) months in
order for the programme expiration to be in line with the
financial year-end and to allow for the finalisation of the
programme redesign and, possibly, the procurement of
service providers for the implementation of the
redesigned programme.","R2 380 500,00
R2 380 500,00","R3 174 000,00
R3 174 000,00","R0,00
R0,00","2022/09/02
2022/09/02","2022/10/01
2022/10/01","2026/03/31
2026/03/31","Reported
Reported",
358,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),For the provision of technical advisory services to the,Salome Squared (Pty Ltd,The contract was extended for eighteen (18) months in,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
359,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
For the provision of technical advisory services to the
government technical advisory centre (gtac) for the
intergovernmental relations (igr) division to support in the
implementation of the municipal finance improvement
programme (mfip) phase iiix: mscoa roving advisor",Ayema Xpertrix Consulting CC,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in
order for the programme expiration to be in line with the
financial year-end and to allow for the finalisation of the
programme redesign and, possibly, the procurement of
service providers for the implementation of the
redesigned programme.","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
360,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),For the provision of technical advisory services to the,Mohamed Sayed Kader,The contract was extended for eighteen (18) months in,"R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
361,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
for the provision of technical advisory services to the",Tincol Group (Pty)Ltdi,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
362,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
for the provision of technical advisory services to the",Welcony Investments (Pty) Ltd,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
363,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
for the provision of technical advisory services to the",Qhubeka Business Solutions,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
364,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
for the provision of technical advisory services to the",Marupaati Holdings (Pty) Ltd,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
365,Q2 2024/25,2024/06/25,Government Technical Advisory Centre (GTAC),"government technical advisory centre (gtac) for the
for the provision of technical advisory services to the",Cherubim Events (Pty) Ltd,"order for the programme expiration to be in line with the
The contract was extended for eighteen (18) months in","R2 380 500,00","R3 174 000,00","R0,00",2022/09/02,2022/10/01,2026/03/31,Reported,
