5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2022/2023 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"ValueofDeviation
(R)","Reason for Deviation
(Use dropdown List)","not supported/not
supported/Conditional supported
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
284,Q2 2022/23,New,2022/07/26,Government Printing Works,Varnish: Take it Off Varnish,Thunderbolt Solutions,"R12 075,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
285,Q2 2022/23,New,2022/07/26,Government Printing Works,"A012416 Galvo drive (program X,Y,Z)",IAI Industrial Systems,"R292 825,48",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
286,Q2 2022/23,New,2022/07/26,Government Printing Works,ID Smart Card: Black Ribbon,Altron Fintech ACS,"R23 958,27",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
287,Q2 2022/23,New,2022/07/26,Government Printing Works,100 Rolls Flat Stapling Wire for Forac Machine,Allied Distributors,"R25 875,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
288,Q2 2022/23,New,2022/07/26,Government Printing Works,160 MXD Stickers,Altron Fintech ACS,"R237 054,56",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
289,Q2 2022/23,New,2022/07/26,Government Printing Works,SPR Maintenance Kit 220V,Altron Fintech ACS,"R301 484,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
290,Q2 2022/23,New,2022/07/26,Government Printing Works,20Kg Printagel 200 Ink Reducer to Soften Ink,Continental Printing Inks,"R2 645,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
291,Q2 2022/23,New,2022/07/26,Government Printing Works,Fast Drying General Use Red Ink,Dimuken,"R8 377,35",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
292,Q2 2022/23,New,2022/07/26,Government Printing Works,"36 x 1 Liter Containers Rollmat 238 roller cleaner (
For Komori Machine)",Thunderbolt Solutions,"R3 560,00",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
293,Q2 2022/23,New,2022/07/26,Government Printing Works,500 Litera Replenisher in 20 Liter Containers,Fujifilm,"R3 905,95",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
294,Q2 2022/23,New,2022/07/26,Government Printing Works,5Kg UV SC Seta PMs 7685 Ref Blue Ink,SICPA,"R26 294,41",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
295,Q2 2022/23,New,2022/07/26,Government Printing Works,12x 25 Liters Bart-rejuvenating wash-strong,Fujifilm,"R16 387,50",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
296,Q2 2022/23,New,2022/07/26,Government Printing Works,Pully TMG,Altron Fintech,"R11 925,50",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
297,Q2 2022/23,New,2022/07/26,Government Printing Works,Connection Cables,Muhlbauer ID Services,"R611,62",Sole supplier,Within AA/AO,2022/07/04,2021/04/01,2024/03/31,Reported
298,Q2 2022/23,New,2022/07/26,Government Printing Works,Consepta 24 Kodak Electra XD 525x 628.30,Fujifilm,"R16 510,44",Sole supplier,Within AA/AO,2022/07/04,Not indicated,Not indicated,Reported
299,Q2 2022/23,New,2022/07/26,Government Printing Works,Multipurpose Shrink Film,Muhlbauer ID Services,"R611,62",Sole Supplier,Within AA/AO,2022/07/13,2021/04/01,2024/03/31,Reported
300,Q2 2022/23,new,2022/07/29,Government Printing Works,807813-101 Encoder optical 256 CPR,Fujifilm,"R16 510,44",Sole Supplier,Within AA/AO,2022/07/13,Not indicated,Not indicated,Reported
301,Q2 2022/23,New,2022/07/29,Government Printing Works,"CMC line 1, 2 and 3: Video Jet Wax Ribbon",SICPA,"R31 513,34",Sole Supplier,Within AA/AO,2022/07/15,Not indicated,Not indicated,Reported
302,Q2 2022/23,New,2022/07/29,Government Printing Works,DG Vision Press Plates 24 inch 647x510,Altron (Bytes Document Solution),"R55 972,80",Sole Supplier,Within AA/AO,2022/07/16,Not indicated,Not indicated,Reported
303,Q2 2022/23,new,2022/07/29,Government Printing Works,Ink Colour Stream 3000: Magenta,Batsumi Enterprise Solution,"R126 500,00",Sole Supplier,Within AA/AO,2022/07/19,Not indicated,Not indicated,Reported
304,Q2 2022/23,New,2022/08/18,Government Printing Works,554864-001 Guide Card Spring Loaded,Altron Fintech ACS,"R40 048,75",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
305,Q2 2022/23,New,2022/08/18,Government Printing Works,"19 Roller Pins, 75 DIA",Altron ACS,"R13 284,80",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
306,Q2 2022/23,New,2022/08/18,Government Printing Works,Ten (10) Feed Roller,Altron Fintech ACS,"R10 729,50",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
307,Q2 2022/23,New,2022/08/18,Government Printing Works,Ten (10) UV PMS 485 Red Ink,SICPA,"R12 444,61",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
308,Q2 2022/23,New,2022/08/18,Government Printing Works,"500 Liters Fountaine Solution DC wassertop packed
20x25litres",Thunderbolt Solutions,"R21 763,75",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
309,Q2 2022/23,New,2022/08/18,Government Printing Works,100 Duraguard Laminate 0.1ml clear full cards,Altron Fintech ACS,"R449 130,20",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
310,Q2 2022/23,New,2022/08/18,Government Printing Works,"50 M/Martini Trelleborg Royal form UV sticky black
blankets 525 x 627x0.90",Thunderbolt Print and Paper,"R34 500,00",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
311,Q2 2022/23,New,2022/08/18,Government Printing Works,1000 kg Web O/S Black Ink,Continental Printing Inks,"R27 600,00",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
312,Q2 2022/23,New,2022/08/18,Government Printing Works,CMO Labels for SITA to print Visa Labels For GPW,Shereno Printers,"R146 625,00",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
313,Q2 2022/23,New,2022/08/18,Government Printing Works,CMO Labels for SITA to print Visa Labels For GPW,Shereno Printers,"R146 625,00",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
314,Q2 2022/23,New,2022/08/18,Government Printing Works,30 kg Umalusi Blue Ink,SICPA,"R39 669,83",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
315,Q2 2022/23,New,2022/08/18,Government Printing Works,"20 KG UV Curing Colourless Phosphorescent Red
Ink",SICPA,"R161 809,83",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
316,Q2 2022/23,New,2022/08/18,Government Printing Works,"500 000 Thick Polycarbonate RSA Data Page
(0.8mm) 10.9x 27.8",Gemalto SA,"R32 964 750,00",Sole Supplier,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
317,Q2 2022/23,New,2022/08/18,Government Printing Works,"5 Clutch slips 3.54 IN-LB, CW",Altron Fintech,"R7 066,75",Sole Supplier,Within AA/AO,2022/08/03,Not indicated,Not indicated,Reported
318,Q2 2022/23,New,2022/08/18,Government Printing Works,"Utilisation of GTAC to assist GPW with the
implementation of the Ministerial Review Committee
Recommendations without going out on tender",GTAC,Not indicated,Single Source Supplier/state institution,Within AA/AO,2022/07/29,Not indicated,Not indicated,Reported
319,Q2 2022/23,New,2022/08/18,Government Printing Works,"Implementation Agent for the new head office
refurbishment project at 389 Sophie de Bruyn Street",DBSA,Not indicated,Single Source Supplier/state institution,Within AA/AO,2022/08/05,Not indicated,Not indicated,Reported
320,Q2 2022/23,New,2022/08/30,Government Printing Works,500 000 Labels- Address Labels La Brite,Majestic Labels,"R52 325,00",Sole Supplier,Within AA/AO,2022/08/10,Not indicated,Not indicated,Reported
321,Q2 2022/23,New,2022/08/30,Government Printing Works,"216 Printed Carbon Ribbons, size: 64x360mm",Muehlbauer ID Services GmbH,"R77 154,08",Sole Supplier,Within AA/AO,2022/08/10,Not indicated,Not indicated,Reported
322,Q2 2022/23,New,2022/08/30,Government Printing Works,50 Line Hole Punch Male,Thunderbolt Solutions,"R6 748,20",Sole Supplier,Within AA/AO,2022/08/10,Not indicated,Not indicated,Reported
323,Q2 2022/23,New,2022/08/30,Government Printing Works,Five Solenoid Assy,Altron Fintech ACS,"R88 417,75",Sole Supplier,Within AA/AO,2022/08/10,Not indicated,Not indicated,Reported
324,Q2 2022/23,New,2022/08/30,Government Printing Works,Ten Rolls Shrink Film SCBY19C0450,Trempak Trading,"R27 749,50",Sole Supplier,Within AA/AO,2022/08/10,Not indicated,Not indicated,Reported
325,Q2 2022/23,New,2022/08/30,Government Printing Works,Three(3) Kg UV Pantone Reflex Blue Ink,SICPA,"R4 099,70",Sole Supplier,Within AA/AO,2022/08/16,Not indicated,Not indicated,Reported
326,Q2 2022/23,New,2022/08/30,Government Printing Works,Therminal Positive Plates,Fujifilm,"R36 022,14",Sole Supplier,Within AA/AO,2022/08/18,Not indicated,Not indicated,Reported
327,Q2 2022/23,New,2022/08/30,Government Printing Works,809412=1055 SPR Upper Seal 48 DIA,Altron Fintech ACS,"R77 864,20",Sole Supplier,Within AA/AO,2022/08/18,Not indicated,Not indicated,Reported
328,Q2 2022/23,New,2022/09/05,Government Printing Works,809412=1055 SPR Upper Seal 48 DIA,Altron Fintech ACS,"R77 864,20",Sole Supplier,Within AA/AO,2022/08/18,Not indicated,Not indicated,Reported
329,Q2 2022/23,New,2022/09/05,Government Printing Works,Bantling suction parts,Maublbauer,"R12 806,66",National Treasury Deviation,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
330,Q2 2022/23,New,2022/09/05,Government Printing Works,3Kg UV SC PMS 1255 U Gold Ink,SICPA,"R15 312,51",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
331,Q2 2022/23,New,2022/09/05,Government Printing Works,Heater Assy Track,Altron Fintech,"R28 497,00",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
332,Q2 2022/23,New,2022/09/05,Government Printing Works,IDC MX76 Spool Spring,Altron Fintech,"R22 379,00",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
333,Q2 2022/23,New,2022/09/05,Government Printing Works,1000 Liters Fountain Solution,Continental Printing Inks,"R43 700,00",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
334,Q2 2022/23,New,2022/09/05,Government Printing Works,100 Rolls Holographic Silver Foil,Packtech Tooling,"R13 471,11",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
335,Q2 2022/23,New,2022/09/05,Government Printing Works,Ten Each AO12416 and Galvo Drive,IAI Industrial Systems,"R495 637,74",Sole Supplier,Within AA/AO,2022/08/22,Not indicated,Not indicated,Reported
336,Q2 2022/23,New,2022/09/05,Government Printing Works,Canon Ex-roller Kit,Canon,"R8 578,60",Sole Supplier,Within AA/AO,2022/08/23,Not indicated,Not indicated,Reported
337,Q2 2022/23,New,2022/09/05,Government Printing Works,Part Items,Altron Fintech ACS,"R3 928,40",Sole Supplier,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
338,Q2 2022/23,New,2022/09/05,Government Printing Works,Motor Stepper 3.0A1.8DEG,Altron Fintech ACS,"R5 050,80",Sole Supplier,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
339,Q2 2022/23,New,2022/09/05,Government Printing Works,32 Each ID Smart Card Cleaning Tape,Altron Fintech ACS,"R18 703,60",Sole Supplier,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
340,Q2 2022/23,New,2022/09/05,Government Printing Works,300 Liters of Replenisher,Fujifilm,"R7 323,66",Sole Supplier,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
341,Q2 2022/23,New,2022/09/05,Government Printing Works,Five 559306-001 Hub Clutch,Altron Fintech ACS,"R2 547,25",Sole Supplier,Within AA/AO,2022/08/24,Not indicated,Not indicated,Reported
342,Q2 2022/23,New,2022/06/17,Human Sciences Research Council (HSRC),Subcontract of SAMRC,South African Medical Research Council,"R110 483,28",Not Stated,Within AA/AO mandate Noting,2022/06/01,2021/07/20,2022/03/31,Reported
343,Q2 2022/23,New,2022/06/17,Human Sciences Research Council (HSRC),"Subcontract of NAPWA for STIGMA
Project",Research Council,"R557 091,29",Not Stated,Within AA/AO mandate Noting,2022/06/02,2022/03/01,2022/06/30,Reported
344,Q2 2022/23,New,2022/06/17,Human Sciences Research Council (HSRC),"Collaboration with UJ on
Transformative Innovation Policy",University of Johannesburg,"R775 267,22",Not Stated,Within AA/AO mandate Noting,2022/06/02,2022/06/06,2023/03/31,Reported
345,Q2 2022/23,New,2022/07/01,Human Sciences Research Council (HSRC),Telkom Accounts,Telkom SA Ltd,"R1 980 000,00",Internal PO for Telkom Accounts,Within AA/AO mandate Noting,2022/06/15,2022/04/01,2025/03/31,Reported
346,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),"AESIS package for training/capacity
development membership",AESIS,"R190 696,00",Attendance of AESIS Capacity Training and Development for 2022,Within AA/AO mandate Noting,2022/06/23,2022/07/06,Once Off,Reported
347,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),HSRC Municipal Electricity,City of Tshwane,"R11 455 152,00",Other ( HSRC Municipal Electricity),Within AA/AO mandate Noting,2022/04/04,2022/04/01,2023/03/31,Reported
348,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),HSRC Municipal Property and Taxes,City of Tshwane,"R7 188 000,00",Other (HSRC Municipal Property and Taxes,Within AA/AO mandate Noting,2022/04/04,2022/04/01,2023/03/31,Reported
349,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),HSRC Municipal Water and Sanitation,City of Tshwane,"R240 000,00",HSRC Water and Sanitation,Within AA/AO mandate Noting,2022/04/04,2022/04/01,2023/03/31,Reported
350,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),"Battery Tripping Unit and Oil for
Transformers","Vuka Africa UPS and
Generators","R492 332,00",Urgent,Within AA/AO mandate Noting,2022/04/08,Not Stated,Not Stated,Reported
351,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),Barnowl Annual Licence,IDI Technology,"R59 708,00",Sole Supplier,Within AA/AO mandate Noting,2022/04/21,2022/04/30,2023/03/31,Reported
352,Q2 2022/23,New,2022/07/11,Human Sciences Research Council (HSRC),SPSS Renewal,OLSPS,"R640 564,95",Sole Supplier,Within AA/AO mandate Noting,2022/04/26,2022/04/30,2023/03/31,Reported
353,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),SASA Conference Registration,Sol Plaatjie University,"R8 400,00",Conference Registration- Single Source,Within AA/AO mandate Noting,2022/07/08,2022/07/11,Not Stated,Reported
354,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Local Innovation Assessment Tool,Walter Sisulu University,"R470 600,00",Funder Specific,Within AA/AO mandate Noting,2022/07/08,2022/07/13,Not Stated,Reported
355,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Local Innovation Assessment Tool,University of Venda,"R575 000,00",Funder Specific,Within AA/AO mandate Noting,2022/07/08,2022/07/13,Not Stated,Reported
356,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),SARIMA Conference,SARIMA,"R14 304,96",Conference Attendance,Within AA/AO mandate Noting,2022/07/25,2022/08/01,Not Stated,Reported
357,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),SASA Conference,University of Sol Plaatjie,"R1 600,00",Conference Attendance,Within AA/AO mandate Noting,2022/07/12,2022/07/12,Not Stated,Reported
358,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Print advert,Mail & Guardian Online,"R39 560,00",Funder Specific,Within AA/AO mandate Noting,2022/07/27,2022/07/29,Not Stated,Reported
359,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Generator Repairs,"Global Monate Trading
Enterprise","R177 266,75",Emergency,Within AA/AO mandate Noting,2022/07/27,2022/06/22,Not Stated,Reported
360,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Gender and AMR Project,Jive Media,"R478 000,00",Funder Specific,Within AA/AO mandate Noting,2022/07/27,2022/07/28,Not Stated,Reported
361,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Review of Academic Papers,IEA,"R54 784,00",Single source,Within AA/AO mandate Noting,2022/07/08,2022/09/01,Not Stated,Reported
362,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Emergency Repairs,"Global Monate Trading
Enterprise","R241 356,25",Emergency,Within AA/AO mandate Noting,2022/07/28,2022/06/24,Not Stated,Reported
363,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),Awards Gala Dinner table,"National Science and
Technology Forum","R25 300,00",Conference- Advertising,Within AA/AO mandate Noting,2022/07/19,2022/07/21,Not Stated,Reported
364,Q2 2022/23,New,2022/08/16,Human Sciences Research Council (HSRC),SARIMA Conference,SARIMA,"R37 775,02",Conference Attendance,Within AA/AO mandate Noting,2022/07/29,2022/08/01,Not Stated,Reported
365,Q2 2022/23,New,2022/08/11,Independent Regulatory Board for Auditors,Workers compensation assistance,WCA (Pty) Ltd,"R2 611,10",Unable to obtain 3 quotation,Within AA/AO,2022/08/02,Not indicated,Not indicated,Reported
366,Q2 2022/23,New,2022/08/23,Independent Regulatory Board for Auditors,SACA Conference,ISACA,"R18 000,00",Single Source,Within AA/AO,2022/10/08,Not indicated,Not indicated,Reported
367,Q2 2022/23,New,2022/08/23,Independent Regulatory Board for Auditors,"15th annual ACFE Africa conference & exhibition
virtual edition",ACFE,"R7 500,00",Single Source,Within AA/AO,2022/12/08,Not indicated,Not indicated,Reported
368,Q2 2022/23,New,2022/08/23,Independent Regulatory Board for Auditors,Women as Leaders Conference,Gordon Institute Of Business Science,"R17 600,00",Single Source,Within AA/AO,2022/12/08,Not indicated,Not indicated,Reported
369,Q2 2022/23,New,2022/09/02,Independent Regulatory Board for Auditors,SUBSCRIPTION,SMART,"R6 898,85",Sole supplier,Within AA/AO,2022/09/01,2022/09/01,2023/08/30,Reported
370,Q2 2022/23,New,2022/08/17,"Independent Communications Authority of South
Africa",INTERNATIONAL TRAINING,Not indicated,Not indicated,Impractical,Not Supported,2022/08/16,Not indicated,Not indicated,Reported
371,Q2 2022/23,New,2022/07/04,International Frontiers Technologies SOC LTD,"Status Hero - 10 new licenses and renewal of 30
licenses",Status Hero,"R53 764,37",Sole supplier,Within AA/AO,2022/06/20,2022/07/26,2023/07/26,Reported
372,Q2 2022/23,New,2022/07/04,"Land and Agricultural Development Bank of South
Africa","Single Source deviation for appointment of an
Independent reviewer of the Bank's information and
models in executing the proposed liability solution",Ernst and Young,"R3 500 000,00",Single Source,Within AA/AO,2022/05/21,2022/06/15,2022/07/22,Reported
373,Q2 2022/23,New,2022/07/05,Marine Living Resources Fund,"Appointment of a service providers for the hiring of
the vessels to conduct surveys",Compass Trawling,"R12 660 100,00",Sole,Within AA/AO mandate Noting,2022/06/30,2022/07/01,2022/08/05,Reported
374,Q2 2022/23,New,2022/09/01,Media Development Diversity Agency,Office accommodation,SABC,Not indicated,No enough budget for new building,Within AA/AO,2022/09/01,Not indicated,Not indicated,Reported
375,Q2 2022/23,Appeal,2022/08/15,Mhlathuze Water,2x SM Split Casing Pumps,Sulzer Pumps,"R1 103 783,86",Sole Supplier,Noting,2022/08/15,Not Stated,Not Stated,Reported
376,Q2 2022/23,Appeal,2022/08/15,Mhlathuze Water,3x Gould 5500 Bearings,Turbofluid Engineering,"R1 118 400,00",Sole Supplier,Noting,2022/08/15,Not Stated,Not Stated,Reported
377,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Caseware Services,Adapt IT,"R114 173,15",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
378,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Postage services,Frama,"R3 197,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
379,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),MDB Exhibition,Creative Space,"R92 000,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
380,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Library usage,Wits Library,"R10 500,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
381,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),SAPA Membership,SAPA,"R1 240,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
382,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Government Gazzette,Government Printing Works,"R272 370,60",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
383,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Transport Choice Software,Blue Stallion,"R271 900,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
384,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),SAGE Evolution Annual Software Licence Renewal,Sage South Africa,"R120 163,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
385,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Government Communication Information Systems,Vukuzenzele Publications,"R89 999,52",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
386,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Top Media Communuications,Boundary redetermination publication,"R70 695,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
387,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Boundary redetermination publication,The Gaafreinette Newspaper,"R14 348,86",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
388,Q2 2022/23,New,2022/07/14,Municipal Demarcation Board (MDB),Boundary redetermination publication,Media 24 Daily Sin Regional,"R292 284,00",Procurement by other means,Noting,2022/07/14,Not indicated,Not indicated,Reported
389,Q2 2022/23,New,2022/09/14,"NATIONAL DEVELOPMENT AND LABOUR
COUNCIL","APPOINTMENT OF TECHNICAL
SUPPORT EXPERTS FOR LABOUR ON THE
LABOUR LAW REFORM
PROCESS",Haffegee Roskam Savage Attorneys,"R414 000,00",Urgent case,Within AA/AO,2022/04/22,2022/04/22,Not indicated,Reported
390,Q2 2022/23,New,2022/09/14,"NATIONAL DEVELOPMENT AND LABOUR
COUNCIL","APPOINTMENT OF TECHNICAL
SUPPORT EXPERTS FOR BUSINESS ON THE
LABOUR LAW REFORM
PROCESS",Bowman Gilfillan inc.,"R414 000,00",Urgent case,Within AA/AO,2022/04/22,2022/04/22,Not indicated,Reported
391,Q2 2022/23,New,2022/09/14,"NATIONAL DEVELOPMENT AND LABOUR
COUNCIL","APPOINTMENT OF FACILITATOR FOR
BUSINESS AND LABOUR ON THE LABOUR LAW
REFORM
PROCESS",Cheadle Thompson & Haysom Inc,"R828 000,00",Urgent case,Within AA/AO,2022/04/22,2022/04/22,Not indicated,Reported
392,Q2 2022/23,New,2022/09/14,"NATIONAL DEVELOPMENT AND LABOUR
COUNCIL","APPOINTMENT OF A LEGAL SERVICES
PROVIDER TO DEFEND NEDLAC IN RESPECT
OF A
LITIGATION FROM NEASA ON THE CODE OF
GOOD PRACTICE FOR THE MANAGEMENT
OF COVID IN THE WORKPLACE",Maserumule Attorneys,Not indicated,Urgent case,Within AA/AO,2022/08/30,2022/08/30,Not indicated,Reported
393,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),NICD Deviation_Chemagic_360_Auro,TBA,"R1 673 344,00",Emergency RFQ,Noting,2021/05/20,Not stated,Not stated,Reported
394,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Abbott Alinity m testing kits,Abbott,"R80 640 000,00",Sole Supplier,Noting,2021/05/26,Not stated,Not stated,Reported
395,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Roche Cobas SARS-CoV2 kits,Roche,"R85 932 000,00",Sole Supplier,Noting,2021/05/26,Not stated,Not stated,Reported
396,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),GeneXpert XPRSARS-COV-2 tests,Cepheid,"R217 242 000,00",Sole supplier,Noting,2021/05/26,Not stated,Not stated,Reported
397,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Deviation_hamilton 96 head Modul,Promolab Propriety Limited T/A Separations,"R1 573 979,50",Sole Supplier,Noting,2021/06/23,Not stated,Not stated,Reported
398,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),CovidSeq sequencing kits,Promolab t/a Separations,"R2 094 589,99",Sole Supplier,Noting,2021/07/05,Not stated,Not stated,Reported
399,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),"REAGENTS AND RELATED CONSUMABLES
FOR COVID 19 TESTING",Various,"R1 040 000 000,00",Sole Supplier and Emergency,Noting,2021/07/20,Not stated,Not stated,Reported
400,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),SARS-CoV-2 Rapid Antigen Tests,Various,"R16 643 950,00",Emergency RFQ,Noting,2021/07/20,Not stated,Not stated,Reported
401,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Rainin tips _Deviation,Microsep,"R1 205 490,70",Sole Supplier,Noting,2021/08/30,Not stated,Not stated,Reported
402,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),GERMS MIC/Trek panels,Separation Scientific,"R1 385 347,50",Sole Supplier,Noting,2021/08/30,Not stated,Not stated,Reported
403,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Hamilon 96 head module Deviaiton,Promolab t/a Separations,"R1 713 174,21",Sole Supplier,Noting,2021/08/30,Not stated,Not stated,Reported
404,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Service for PCR instruments,LTC t/a Thermofisher Scientific,"R1 306 548,90",Sole Supplier,Noting,2021/09/29,Not stated,Not stated,Reported
405,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Deviation Tapestation reagents,Diagnostech (Pty) Ltd,"R1 914 878,80",Sole Supplier,Noting,2021/09/29,Not stated,Not stated,Reported
406,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Hamilton CORE Filter Tips,Promolab Propriety Limited T/A Separations,"R2 338 961,08",Sole Supplier,Noting,2021/11/16,Not stated,Not stated,Reported
407,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),Cobas 8800 Maintenance Contract,Roche Diagnostics,"R2 837 498,80",Sole Supplier,Noting,2021/09/29,Not stated,Not stated,Reported
408,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),The Scientific Group Maxim LAg,The Scientific Group,"R3 655 275,00",Sole Supplier,Noting,2021/11/03,Not stated,Not stated,Reported
409,Q2 2022/23,New,2022/06/17,National Health Laboratory Service (NHLS),COVIDSeq,Promolab Propriety Limited T/A Separations,"R16 756 719,92",Sole Supplier,Noting,2022/02/23,Not stated,Not stated,Reported
