5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 1 REPORT DEVIATIONS,,,,,,,,,,,,,
DEVIATIONS REPORT,,,,,,,,,,,,,
Number,Period / Quarter,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)","Reason for Deviation
(Use dropdown List)","Supported/Not
Supported/Noting
(Use dropdown List)","Award/recommended by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd),"Status
(Use dropdown List)"
495,Q1 2023/24,New,2023/04/14,Council for the Built Environment (CBE),Catering Service for the Sustainability Institute Summit scheduled for 4-5 April 2023,Tumily’s Catering (Pty) Ltd,R57 775.00,"Multiple source procurement was utilised as the RFQ process was not successful on
three attempts. Due to the urgency of the requirement a fourth RFQ process was not
deemed feasible as the risk in not finding a suitable bidder was very high.",Noting,2023/03/31,2023/04/04,2023/04/05,Reported
496,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Dick Wittington combat boot,Dick Whittington Shoes (PTY) LTD,R4 036 500.00,Sole Source,Noting,2023/02/08,2023/02/08,2023/02/08,Reported
497,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","Package ‘Talkwalker Research’ for Talkwalker Project 'Council for Scientific and
Industrial Research- Analytics'",Talkwalker Sarl,R818 520.00,Sole Source,Noting,2023/01/05,2023/01/05,2023/12/13,Reported
498,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","Detego Suite Ultimate - Annual Renewal
Includes: Field, MA, Covert, Fusion, Ballisc Imager, Detego",Trinexia (Pty) Ltd,R160 896.50,Sole Source,Noting,2023/01/29,2023/01/29,2023/01/29,Reported
499,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Procurement of Laser arc lamps,Horiba Jobin Yvon GmbH,R51 958.53,Sole Source,Noting,2023/01/13,2023/01/13,2023/01/13,Reported
500,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Microsoft Enterprise Support Services,Microsoft (SA) (Pty) Limited,R1 506 000.00,Sole Source,Noting,2023/01/05,2023/01/05,2023/01/05,Reported
501,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Customised MSC Simulation Product Training,SIMTEQ Engineering (Pty) Ltd,R59 800.00,Sole Source,Noting,2023/01/27,2023/01/27,2023/01/27,Reported
502,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",The supply of Waverider buoys spares and parts for CSIR Smart Mobility,Datawell BV,R1 613 956.00,Sole Source,Noting,2023/02/08,2023/02/08,2023/02/08,Reported
503,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Microsoft Enterprise Agreement Renewal,Microsoft Ireland Corporation LTD,R14 549 316.20,Sole Source,Noting,2023/01/27,2023/01/27,2023/01/27,Reported
504,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Science Direct Subscription Renewal,Elsevier B.V,R2 890 303.46,Sole Source,Noting,2023/03/06,2023/03/06,2023/03/06,Reported
505,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",IMAGINE Software Maintenance Renewal,Geo Data Design PTY LTD,R185 909.46,Sole Source,Noting,2023/02/06,2023/02/06,2023/02/06,Reported
506,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Tourmaline ICP Underwater Blast Sensor,TANDM Technologies (Pty) Ltd,R240 459.25,Sole Source,Noting,2023/02/21,2023/02/21,2023/02/21,Reported
507,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Market Report,Market Research.com Profound ACQ,R112 798.98,Sole Source,Noting,2023/02/15,2023/02/15,2023/02/15,Reported
508,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Ramlog Licence renewal,R&M Technologies CC,R124 200.00,Sole Source,Noting,2023/02/22,2023/02/22,2023/02/22,Reported
509,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal Of Oracle Agreement 18819200,"Oracle Corporation South Africa PTY
LTD",R 68 182.72,Sole Source,Noting,2023/02/27,2023/02/27,2023/02/27,Reported
510,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",The supply of TZM muffle box,Shanghai Gehang Vacuum Technology,R406 306.00,Sole Source,Noting,2023/04/04,2023/04/04,2023/04/04,Reported
511,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","Annual ChemDraw Prime (ChemDraw Maintenance License renewal) and Signals
Notebook",Perkin Elmer Informatics Inc,R56 187.94,Sole Source,Noting,2023/03/09,2023/03/09,2023/03/09,Reported
512,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Repair of the Titan Tensile Strength Tester,Dutest Agencies CC,R60 243.90,Sole Source,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
513,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",KZN Exhibition,Specialised Exhibition PTY LTD,R34 130.85,Sole Source,Noting,2023/03/27,2023/03/27,2023/03/27,Reported
514,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Procurement Laser spare component for maintenance,HORIBA Jobin Yvon GmbH,R40 263.85,Sole Source,Noting,2023/03/17,2023/03/17,2023/03/17,Reported
515,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Micro Focus Assurance and SUSE Products Renewal,Axiz (Pty)Ltd,R4 860 930.24,Sole Source,Noting,2023/03/24,2023/03/24,2023/03/24,Reported
516,Q1 2023/24,,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",New Kuka Robot Acquisition on LSP Accelerator Project,Jendamark Automation (PTY) LTD,R702 209.14,Sole Source,Noting,2023/03/29,2023/03/29,2023/03/29,Reported
517,Q1 2023/24,New,2023/04/20,,TeamViewer Tensor Renewal,Team Viewer GMBH,R1 011 267.13,Sole Source,,2023/03/28,2023/04/01,2024/03/31,Reported
518,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","Enhance Training project a breathing apparatus is required to simulate breathing
under emergency conditions.",Hannover Engineering ( Pty) Ltd,R163 300.00,Sole Source,Noting,2023/03/27,2023/03/29,2023/03/29,Reported
519,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Global Investment Casting Market Research Report—Forecast till 2025,Absolute Reports Pvt Ltd,R31 611.20,Sole Source,Noting,2023/04/03,2023/04/03,2023/04/03,Reported
520,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","1.Measuring Plate Pp25/Di/Ti 1 Pcs D: 25 Mm; For Dielectrical Meas. Cell.
2.Ceramic Isolator Di-Option for Ctd",Anton Paar Southern Africa (Pty),R41 656.45,Sole Source,Noting,2023/03/29,2023/03/29,2023/03/29,Reported
521,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",3x C-Plus Bioreactors,Sartorius South Africa (Pty) Ltd,R14 473 050.15,Sole Source,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
522,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Requirements for the upgrading of the fire tunnel:,Donald James Bryden,R48 200.00,Single Source,Noting,2022/05/08,2022/05/08,2022/05/08,Reported
523,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Renewal of subscription service for Solidworks Research Network,Mecad Systems (Pty) Ltd,R88 895.00,Single Source,Noting,2022/12/12,2022/12/12,2022/12/12,Reported
524,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Toyota Hilux bakkie parts for repairs,McCarthy Toyota (Pty) Ltd,R31 890.00,Single Source,Noting,2023/10/03,2023/10/03,2023/10/03,Reported
525,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",AS9100 Aerospace Quality Management System - 1st Surveillance Audit 2022,"NOVO STAR management system
solutions India Private",R31 730.21,Single Source,Noting,2022/09/27,2022/09/27,2022/09/27,Reported
526,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Mobile trailer lights generator upgrades,Aztec Components,R633 309.60,Single Source,Noting,2022/12/06,2022/12/06,2022/12/06,Reported
527,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","KnowBe4 Security Awareness Subscription Renewal and support for a period of 12
months",Fullstream Business Services (Pty) Ltd,R866 007.50,Single Source,Noting,2023/01/31,2023/02/01,2024/01/31,Reported
528,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Liquid Helium,Afrox,R322 278.98,Single Source,Noting,2023/03/23,2023/03/23,2023/09/30,Reported
529,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)",Emergency replacement of Airconditioning Unit at the CSIR ICC Amethys Room.,Optimal Air cc,R381 110.00,Emergency procurement,Noting,2023/02/13,2023/02/13,2023/02/13,Reported
530,Q1 2023/24,New,2023/04/20,"Council for Scientific and Industrial Research
(CSIR)","Substation 12 has had a transformer failure which resulted in loss of supply and
production to the High Speed Wind Tunnel.",Uni-Test,R251 286.50,Emergency procurement,Noting,2023/04/06,2023/04/06,2023/04/06,Reported
531,Q1 2023/24,New,2023/04/13,"Department of Public Works and Infrastructure
(DPWI)","Bloemfontein: Department of Higher Education and Training (DHET): New Office
accommodation and Parking Facilities: 928.40m² and 12 Bays for 5 years",Mxibiz (Pty) Ltd,R7 872 694.13,"The Department was issued with a Procurement Instruction (PI) on the 08th April 2022
to procure new office accommodation and parking facilities for the Department of Higher
Education and Training (DHET). DPWI is opting to follow negotiated procedure as the
procurement method due to the fact that the client is already currently accommodated at
Omni Building which is situated at No.73 Aliwal Street, Bloemfontein CBD, and this is
also in line with the specified preferred location indicated by the client in the PI The
client is already occupying the building, so it would be costly for them to relocate to
alternative accommodation and there is space available at Omni Building",Noting,2023/02/13,2023/03/01,2028/02/29,Reported
532,Q1 2023/24,New,2023/04/19,National Research Foundation (NRF),Assessment of the Multifunctioning Printer in the NRF Printing Room,Altron TMT (Pty) Ltd,R2 037.80,"Single Source: Altron Document Solutions is the exclusive authorised distributor of
Xerox printers in South Africa which makes them a single source supplier that can
assess and repair the damaged printer thus it is impractical to source these services
through an open competitive bidding process.",Noting,2023/04/13,2023/04/14,2023/06/30,Reported
533,Q1 2023/24,New,2023/04/19,National Research Foundation (NRF),"Annual service fee for the water filtration plant chemical replacement based on the
actual usage",Aqua King SA (Pty) Ltd,R47 768.32,"Single Source: The service provider who installed their propriety Water Filtration System
at Sutherland, Aqua King SA, after a competitive bidding process, are currently used to
service the system on a monthly basis as well as monitoring it and replacing chemicals
as and if it necessary, based on actual usage. We prefer that the original equipment
manufacturer (OEM) of the system maintains the equipment to ensure that it the system
do not become less effective and result in water quality that is not up to the SANS 241
Drinking Water Quality standard. SAAO have been using this service provider since the
installation and are satisfied with Aqua King’s level of professionalism and efficiency.",Noting,2023/04/17,Once Off,Once Off,Reported
534,Q1 2023/24,New,2023/04/19,National Research Foundation (NRF),Repair of Hwacheon Lathe Machine,WD Hearn,R16 516.30,Sole: An urgent repair had to be carried out on the Hwacheon Lathe Machine,Noting,2023/04/17,Once Off,Once Off,Reported
535,Q1 2023/24,New,2023/04/19,National Research Foundation (NRF),"Supply and Delivery of Caenels Power supply products and related accessories for a
period of five (5) years at iThemba Labs, Faure, Western Cape as and when
required.",Accutronics (Pty) Ltd,R4 000 000.00,"Single Source: CAENels products are used to power steerer magnets needed to steer
the particle beam in the horizontal and vertical planes in the Accelerators",Noting,2023/04/17,2023/05/01,2028/04/30,Reported
536,Q1 2023/24,New,2023/04/19,National Research Foundation (NRF),"Purchase of animal tracking tags to sustain the long-term observations of Marine
mammals and sea birds.",Sea Technology Services,R1 995 998.00,"Single Source: The tags are used to collet and transmit data of soorounding
environmental variables and the data is then transmitted back to South Africa vai the
ARGOS satellite data system",Noting,2023/04/17,2023/05/01,2025/04/30,Reported
537,Q1 2023/24,New,2023/04/26,South African National Space Agency (SANSA),Test and locate repair fault on generator system,Diesel electric services,R200 000.00,"The electrical system has a serious fault which shuts down the sites power grid.
Technicians were called in to try and fix the fault however they came to a point where
SANSA’s capabilities and test equipment cannot do the next level of fault finding. Power
reliabilty is a critical part of our contractual agreement with our customers.",Noting,2023/04/18,2023/04/18,Once Off,Reported
538,Q1 2023/24,New,2023/05/04,Ditsong: Museums of Africa,"To request that DMSA pay South African Music Rights Organisation (SAMRO)
licence fees.",SAMRO,R42 961.84,"SAMRO administers performing rights on behalf of its members, being music
composers, authors and publishers and they licence music users .DMSA hosts events
and live music concerts. DMSA is therefore legally obligated to pay licence fees for the
music played at these museums",Noting,2023/04/20,2023/04/20,2023/04/20,Reported
539,Q1 2023/24,New,2023/04/30,"Construction Education and Training Authority
(CETA)SETA",Head Office Security guards services,Buffalo Protection Services,R80 879.50,"CETA went out on a competitive security services RFQ for the period of two (2) months
and appointed Roma Security cc t/a Buffalo Protection Services, while the tender
evaluation process unfolded. To allow finalisation of the evaluation process, the Buffalo
Security Services contracts was extended from 01 March 2023 to 15 March 2023 as
CETA could not operate without the security services. Due to unforeseen delays during
evaluation/adjudication process the appointment could not be made by 15 March 2023,
which is the date that the services of Buffalo Security was expiring.",Noting,2023/03/15,2023/03/16,2023/03/31,Reported
540,Q1 2023/24,New,2023/04/30,"Construction Education and Training Authority
(CETA)SETA",Head Office Security guards services,Buffalo Protection Services,R323 518.00,"CETA went out on a competitive security services RFQ for the period of two (2) months
and appointed Roma Security cc t/a Buffalo Protection Services; while the tender
evaluation process unfolded.To allow finalisation of the evaluation process, the Buffalo
Security Services contracts was extended from 01 March 2023 to 15 March 2023 and
further from 16 March 2023 to 31 March 2023 as CETA could not operate without the
security services. Due to unforeseen delays during evaluation/adjudication process the
Bid Adjudication Committee (BAC) report was only submitted to the CEO for approval on
the 15 March 2023, which is the date that the services of Buffalo Security Services were
expiring.",Noting,2023/03/31,2023/04/01,2023/03/31,Reported
541,Q1 2023/24,New,2023/05/05,Council for the Built Environment (CBE),"Renewal of CBE’s Annual Subscription Fee for the period March 2023 to February
2024.",Sage South Africa (Pty) Ltd,R131 700.30,"Single source procurement was utilised as the CBE intends to procure an ERP system.
While this process is unfolding, it would not be feasible for the CBE to obtain a new
payroll system as the outcome of the assessment may result in a new payroll system
being considered. Hence a quote was obtained from the existing service provider.",Noting,2023/04/24,2023/03/01,2024/02/28,Reported
542,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Data recovery from corrupt external hard drives,Imperative Technology,R15 640.00,Single source,Noting,2022/06/23,2022/06/24,2022/07/30,Reported
543,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Recalibration of the PSR-3500 Spectroradiometer,Southern Mapping,R266 506.02,Sole Supplier,Noting,2022/08/15,2022/09/01,2022/10/30,Reported
544,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Matlab Licence & Toolbox Renewal,Opti-Num Solutions,R15 000.00,Sole Supplier,Noting,2022/10/10,2022/10/11,2025/10/10,Reported
545,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Multi-sensor satellite imagery,Airbus,R4 900 000.00,Sole Supplier,Noting,2022/11/23,2022/12/01,2023/11/30,Reported
546,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Dell out of warranty support and repair onsite,Dell,R3 202.31,Emergency system repair,Noting,2022/12/20,2022/12/20,2022/12/20,Reported
547,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Direct reception of Lansat 8 & 9,United States Geological Survey,R14 375 239.49,Sole Supplier,Noting,2022/12/22,2023/01/01,2027/12/31,Reported
548,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Maintenance and support renewal of ArcGIS and ENVI software,ESRI South Africa,R462 788.15,Sole Supplier,Noting,2023/03/30,2023/04/01,2026/03/31,Reported
549,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),PCI Geomatica Software Licence upgrade,MapAfrika,R2 893 962.12,Sole Supplier,Noting,2023/02/02,2023/02/03,2024/02/02,Reported
550,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),Earth Observation Data & Services Market Analysis Report,Euroconsult,R68 075.78,Sole Supplier,Noting,2023/03/07,2023/03/08,2023/03/31,Reported
551,Q1 2023/24,New,2023/05/03,South African National Space Agency (SANSA),NewSpace Africa Conference2023 Exhibition,Ideal Space Technologies,R55 016.10,Single Supplier,Noting,2023/03/07,2023/03/08,2023/04/01,Reported
552,Q1 2023/24,New,2023/04/30,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request for approval to attend training on Bid Committees offered by the National
School of Government as a bespoke training for organs of state, following the
process of other means of procurement: Limited Bidding – Sole Source procurement",National School of Government (NSG),R93 450.00,"INSETA has requested quotation from National School of governement for training that
will assist INSETA Bid Committee members to understand the roles of different
committees which are BSC, BEC and BAC as well as the SCM legislative frameworks.",Noting,2023/01/24,2023/05/15,2023/05/15,Reported
553,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Calibration of Equipment,Concillium Technologies,R25 622.00,Sole Supplier,Noting,2023/03/24,2023/03/30,2024/03/24,Reported
554,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Repair of Fluxgate Magnetometer,DTU Space,R54 124.00,Sole Supplier,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
555,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Fluxgate Electronics Box,DTU Space,R71 546.90,Sole Supplier,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
556,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Repairs of total feld Magnetometers,Gems System,R53 794.00,Sole Supplier,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
557,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Extended Warranty OVH & Maintenance,Lowell Digisonde International,R300 000.00,Sole Supplier,Noting,2023/03/13,2023/03/31,2026/03/13,Reported
558,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Desktop Water Jet Cutter,Wazer,R224 987.33,Sole Supplier,Noting,2023/02/24,2023/03/31,2026/01/31,Reported
559,Q1 2023/24,New,2023/05/09,South African National Space Agency (SANSA),Parys Airshow,Creative Space Media,R57 500.00,Single Supplier,Noting,2023/03/31,2023/03/31,2023/03/31,Reported
560,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Genesys license upgrade,Letter27 – Imagine IT (Pty) Ltd,R333 960.00,Sole Supplier,Noting,2023/01/09,2023/01/09,2023/01/09,Reported
561,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Flownex software package,M-Tech Industrial (Pty) Ltd,R75 311.78,Sole Supplier,Noting,2023/02/06,2023/02/06,2023/02/06,Reported
562,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Transbolt turbo starter system,Lasec SA (Pty) Ltd,R41 524.89,Sole Supplier,Noting,2023/05/09,2023/05/09,2023/05/09,Reported
563,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Servicing of the Chromatography instruments,Chemetrix Export (Pty) Ltd,R42 392.00,Sole Supplier,Noting,2023/05/09,2023/05/09,2023/05/09,Reported
564,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Service and Consumables for Scion GC/MS,Chromespec CC,R48 070.00,Sole Supplier,Noting,2023/03/20,2023/03/20,2023/03/20,Reported
565,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",IOP - Subscription Renewal for 2023,Institute Of Physics (IoP),R160 408.09,Sole Supplier,Noting,2023/04/18,2023/04/18,2023/04/18,Reported
566,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)","Industrial Rotary Evaporator with Automation and control; Freight, installation,
commissioning ,training, and three-year preventative maintenance plan.",Promolab (Pty) Ltd,R1 944 943.71,Sole Supplier,Noting,2023/04/14,2023/04/14,2023/04/14,Reported
567,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Pilot scale batch reactor,Promolab (Pty) Ltd,R2 411 579.10,Sole Supplier,Noting,2023/04/14,2023/04/14,2023/04/14,Reported
568,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",Business Day Empowerment dps to promote the NCPC-SA services 2023,Highbury Media (Pty) Ltd,R77 573.25,Sole Supplier,Noting,2023/04/11,2023/04/11,2023/04/11,Reported
569,Q1 2023/24,New,2023/05/17,"Council for Scientific and Industrial Research
(CSIR)",JSE Magazine,Highbury Media (Pty) Ltd,R40 250.00,Sole Supplier,Noting,2023/04/11,2023/04/11,2023/04/11,Reported
570,Q1 2023/24,New,2023/05/17,"Department of Higher Education and Training
(DHET)","Appointment of service providers on the DHET database to Print, Pack and Deliver all
examination stationery for a period of six months or until a tender is awarded",Kashan Advertising,R1 182 200.00,"The unit is seeking to deviate from these processes because of the tight time frames for
the coming examinations and the fact that the unit does not have sufficient stock on
hand. The request is that urgent procurement through either GPW or quotations be
sourced so that the stationery be made available to the Chief Directorate before the
May/June 2023 examinations whilst the new tender process commences within the next
six months",Noting,2023/05/11,2023/05/11,2023/11/11,Reported
571,Q1 2023/24,New,2023/05/17,"Department of Higher Education and Training
(DHET)","Appointment of service providers on the DHET database to Print, Pack and Deliver all
examination stationery for a period of six months or until a tender is awarded",Lebone Litho Printers,R1 656 000.00,"The unit is seeking to deviate from these processes because of the tight time frames for
the coming examinations and the fact that the unit does not have sufficient stock on
hand. The request is that urgent procurement through either GPW or quotations be",Noting,2023/05/15,2023/05/15,2023/11/15,Reported
572,Q1 2023/24,New,2023/05/16,"Agricultural Sector Education and Training Authority
(AgriSETA)SETA",Caseware,Adapt IT,R100 301.48,Sole Source,Noting,2023/05/02,Once Off,Once Off,Reported
573,Q1 2023/24,New,2023/05/16,"Agricultural Sector Education and Training Authority
(AgriSETA)SETA","Internet Services, MPLS and VPN Services",Liquid Intelligent technologies,R201 170.83,Sole Source,Noting,2023/05/09,2023/05/09,2023/11/09,Reported
574,Q1 2023/24,New,2023/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",TV License Renewal Fees,SABC TV Licence,R1 060.00,TV license renewal,Noting,2023/04/11,2023/04/12,Once Off,Reported
575,Q1 2023/24,New,2023/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Annual Membership Fees,The Institute Of Directors In SA,R36 820.00,Membership subscription,Noting,2023/05/04,2023/05/04,Once Off,Reported
576,Q1 2023/24,New,2023/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Business Focus Magazine,Legacy Media Innovations,R59 950.00,Most suitable publication to reach the target audience,Noting,2023/05/12,2023/05/12,Once Off,Reported
577,Q1 2023/24,New,2023/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Wits Centre Of Research Sponsorship,Wits Commercial Enterprise,R100 000.00,Sponsorship - conference,,2023/05/12,2023/05/12,Once Off,Reported
578,Q1 2023/24,New,2023/05/15,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Forensic Services,Bokang Consulting Services,R119 210.15,Other - security breach,Noting,2023/05/11,2023/05/12,Once Off,Reported
579,Q1 2023/24,New,2023/05/18,"Finance and Accounting Services Sector Education
and Training Authority (Fasset)SETA",Corporate wear,"Imagemakers Corporate Wear (PTY)
LTD",R58 454.50,Deviation from normal procurement process. Only received 2 quotes from brokers.,Noting,2023/05/15,Once Off,Once Off,Reported
580,Q1 2023/24,New,2023/05/22,"Department of Environment, Forestry and Fisheries
(DEFF)","Request for the appointment of the Tertiary Education Research Network(tenet) as a
sole provider to provide the services for the high-speed networking service to the
departmental research activities for a five-year period between April 2023 to April
2028.",Tertiary Education Research Network,"Tene
R1 940 685.23",t is the only supplier and has unique offerings of the national science research network – s,"anren
Noting",2023/05/17,Once Off,Once Off,Reported
581,Q1 2023/24,New,2023/05/24,South African Tourism,Imex frankurt 2023 space and participation fee,Regent Exhibition ltd,R4 191 861.34,Single Source,Noting,2023/05/05,2023/05/23,2024/05/25,Reported
582,Q1 2023/24,New,2023/05/24,South African Tourism,Bid support to host the 2022 Tourism Investment Forum Africa,Millvest Advisory,R647 000.00,Single Source,Noting,2023/05/04,2023/06/27,2023/06/27,Reported
583,Q1 2023/24,New,2023/05/24,South African Tourism,Bid support to host the AASW2023,"The Forum for Agricultural Research in
Africa (FARA)",R665 000.00,Single Source,Noting,2023/05/19,2023/06/05,2023/06/08,Reported
584,Q1 2023/24,New,2023/03/27,"Department of Higher Education and Training
(DHET)","Appointment of service provider to implement inputs/comments from various
stakeholders on the draft Continuing Education and Training Amendment Bill,2022",Cele ZN Attorneys,R680 000.00,"The service provider drafted the first Continuing Education and Training Amendment
Bill,2022, therefore, they have the background information documentation that informed
the processed amendments",Noting,2023/03/30,2023/03/30,2023/04/29,Reported
585,Q1 2023/24,New,2023/03/16,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA","Provision of interim cloud hosting solution of MICT SETA’s business applications and
expand the current contract for implementation, support and maintenance of Wide
Area Network (WAN) services, security, and backup services.","Mobile Telephone Networks (Pty) Ltd
T/A MTN SA",R1 664 910.46,"Single Source-The request to appoint MTN SA as a interim single service provider is
due to the urgent requirement for the MICT SETA critical systems to be moved into the
cloud scheduled for Go-Live during March 2023 for business continuity in the interim.
Hosting of business applications is a critical service which requires proper planning and
it is anticipated that the SITA cloud hosting platforms will not be available and ready by
the time the critical systems require secure hosting. This does not change the period of
the current contract which stsarted on 01 January 2022 to 31 December 2026.",Noting,2023/02/28,2023/03/01,2024/02/28,Reported
586,Q1 2023/24,New,2023/03/16,"Media, Information and Communication
Technologies Sector Education and Training
Authority (MICT SETA)SETA",Appointment of a service provider for the recovery of affected ICT network services.,"Blue Networks and Infrastructure (Pty)
Ltd",R73 458.29,Deviation from the normal procrement process. SCM received two quotes,Noting,2023/03/09,Once off,Once off,Reported
587,Q1 2023/24,New,2023/05/19,National Student Financial Aid Scheme (NSFAS),"Adapt IT is a sole provider of caseware license in South Africa, It is the software used
within for the last 10 financial years to draft financial statements",Adapt IT Holdings Ltd,R116 120.29,Sole Supplier,Noting,2023/05/15,2023/05/22,2023/06/22,Reported
588,Q1 2023/24,New,2023/05/22,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA","The merSETA, has suspended numerous Memorandum of Agreements (MOAs) and
contracts with various companies for a range of reasons in accordance with a
forensic investigation. Soon thereafter, the Acting Chief Executive Officer has been
receiving threats, predominantly from dissatisfied parties associated with these
cases. At this stage
the merSETA is unable to ascertain where these threats are coming from, but this
compelled mrSETA to provide the ACEO with a personal security detail by hiring a
body guards. The reasons for this service are justified by the fact that threats to her
personal safety and intimidating messages can swiftly escalate into threats of
violence against the ACEO, putting her in a vulnerable and dangerous situation. A
personal security guard can
provide 24-hour protection, ensuring her safety at all times.",Sirius Risk Management,R3 860.00,Emergency procurement,Noting,2023/04/18,2023/04/18,Once off,Reported
