row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
289,Q3 2022/23,2022/10/24,National Research Foundation (NRF),"Recommended remedial repairs following
maintenance on service of generator on the
13/10/2022
Ø Replace perished coolant hoses and hose clamps
Ø Replace defective oil sender unit",Devcopower Solutions,"R 8 568,87","The emergency: deviation is due to the faults found after maintenance on the generator. The market was
tested and unfortunately no supplier submitted a pricing.",2022/10/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
290,Q3 2022/23,2022/10/07,National Research Foundation (NRF),"Renewal of Software maintenace service of Matlab
licenses and Wavelet toolbox licenses",Opti-Num Solutions (Pty) Ltd,"R 9 709,00","Single Source: Opti-Num Solutions (Pty) Ltd. is the only distributor authorized by MathWorks Limited to
conduct sales activities related to MathWorks software products in South Africa.",2022/09/30,Once Off,Once Off,,Within AA/AO mandate Noting,New
291,Q3 2022/23,2022/10/07,National Research Foundation (NRF),"Renewal of Software maintenace service of Matlab
licenses and Wavelet toolbox licenses",Opti-Num Solutions (Pty) Ltd,"R 9 709,00","Single Source: Opti-Num Solutions (Pty) Ltd. is the only distributor authorized by MathWorks Limited to
conduct sales activities related to MathWorks software products in South Africa.",2022/09/30,Once Off,Once Off,,Within AA/AO mandate Noting,New
292,Q3 2022/23,2022/10/21,National Research Foundation (NRF),"Repair and installation of spares. Agie SA30 Spark
Eroder",Retecon,"R 5 713,20","Sole Source: Labour cost and consumables for the repairs carried out on the spark eroder.
Machine is back in full service. All repairs carried out.",2022/10/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
293,Q3 2022/23,2022/09/27,National Research Foundation (NRF),Repair Kitamura cnc mill,WD Hearn,"R 6 641,25","Emergency:Access Control being affected and not functioning. Doors are at risk and unable to operate via
the tag. Security risk. House 5 – students accommodation. House 4 - offices",2022/09/22,Once Off,Once Off,,Within AA/AO mandate Noting,New
294,Q3 2022/23,2022/10/21,National Research Foundation (NRF),Repairs of autoclave by Energi Solutions Africa,Emergi Solution Africa,"R 4 873,70","Single Source: The autoclave needs to be stripped before a quotation can be submitted and it is impractical
to send the autoclave to a minimum of three supplier for strip and quote.",2022/10/17,Once Off,Once Off,,Within AA/AO mandate Noting,New
295,Q3 2022/23,2022/10/24,National Research Foundation (NRF),"Replacement of consumable parts on the Oxford
cryo Systems",Oxford Cryosystems Ltd (UK),"R 474 672,81",Sole Source: (OCS) Coldstar 2/9 cryo coolers used on all Meerkat Receivers.,2022/10/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
296,Q3 2022/23,2022/11/04,National Research Foundation (NRF),"Servicing of Agilent's GTA 120 Graphite Furnace
System",Chemetrix Exports,"R 64 419,41",Sole Source: Chemetrix Export is the sole supplier of Agilent Technology equipments in South Africa,2022/11/01,Once Off,Once Off,,Within AA/AO mandate Noting,New
297,Q3 2022/23,2022/09/20,National Research Foundation (NRF),Spares for Agie Charmilles Spark Eroder,Retecon,"R 682,48",Emergency,2022/09/06,Once Off,Once Off,,Within AA/AO mandate Noting,New
298,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Subscription of annual renewal for SPIE,Burgundy Information Services Ltd,$2575,"Sole Source : SPIE is the Sole Source for the SPIE Digital Library. Burgundy Information Services Ltd is the
sales representatives for South Africa ʹ letter attached. Academic peer-reviewed literature is accessed
through this e-tool, an online digital library is needed for producing research at the SAAO.",2022/10/28,Once Off,Once Off,,Within AA/AO mandate Noting,New
299,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Supply and delivery of Well Culture Inserts,Ibidi GmbH,"2.574,00 EUR","Sole Source : Cell migration occures during many important physiological processes for expample
controlled cell migration allows for embroyonic development, tussue injury and wound healing. In contrast
,cell migration is dysregulated in many pathological situations such as cancer metastasis and inflammation.
Due to the specially designed bottom , the culture -Insert stick to the culturing vessel, preventing any cell
growth beath its walls.",2022/10/31,Once Off,Once Off,,Within AA/AO mandate Noting,New
300,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Supply and delivery of settle and contact plates,Merck Life Sciences (Pty) Ltd,"R 249 018,13","Sole Source: The catalogue number and the description of the chemicals form part of the production
material. As these products are validated for the radioisotopes produced at iThemba Labs, a different
catalogue number can lead to serious problems, this includes a patient suing iThemba for negligence. The
specified catalogue numbers on the production papers should be used for each production, as for every
production these specific items are needed. The above-mentioned chemicals are part of the Millipore
brands. Merck Life Science is the sole supplier of these brands in South Africa.",2022/10/31,Once Off,Once Off,,Within AA/AO mandate Noting,New
301,Q3 2022/23,2022/09/20,National Research Foundation (NRF),"Supply and delivery of the inflatable gasket and
loading cell",Comecer,"R 1 114,00",Sole Source,2022/09/09,Once Off,Once Off,,Within AA/AO mandate Noting,New
302,Q3 2022/23,2022/09/27,National Research Foundation (NRF),Supply of Particle Counter,AMS Laboratory Technologies,"R 305 900,00","Emergency Procurement: The emergency route was used because it was critical that this piece of
equipment is procured in order to ensure that all iThemba LABS radiopharmaceutical products are produced
in a controlled environment and to avoid potential negative impact on product quality which could affect our
reputation resulting in potential producing license loss and revenue loss.",2022/09/20,Once Off,Once Off,,Within AA/AO mandate Noting,New
303,Q3 2022/23,2022/10/21,National Research Foundation (NRF),"Supply of Peek HPLC tubing used as s connector
between the HOLP instrument and the radioactive
detector",Advanced African Technology,"R 11 470,10","Single Source: The instrument (HPLC) is part of the Shimadzu brand Adavance African Technology is the
sole supplier of the product",2022/10/20,Once Off,Once Off,,Within AA/AO mandate Noting,New
304,Q3 2022/23,2022/09/27,National Research Foundation (NRF),Team Building for 21 executives,Productivity Breakthrough (Pty) Ltd,"R 50 000,00","Single Source: Teabuilidng facilitator with differentiated from the mainstream team building services by many
providers in that the special tools such as the “Gold Mine” leadership exercise",2022/09/15,Once Off,Once Off,,Within AA/AO mandate Noting,New
305,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Telescope Lenses,Optoplast CC,"R 3 018,75","Single Source : We use these lenses when we do the telescope workshops with learners and Educators, to
teach them about optics and astronomy awareness curriculum purposes.This is a sole supplier",2022/10/27,Once Off,Once Off,,Within AA/AO mandate Noting,New
306,Q3 2022/23,2022/11/04,National Research Foundation (NRF),Telescope Tubes,Transpaco Cores & Tubes,"R 3 271,75","Single Source : We use these tubes together with lenses when we do the telescope workshops with
learners and Educators, to teach them about optics and astronomy awareness curriculum purposes.",2022/10/27,Once Off,Once Off,,Within AA/AO mandate Noting,New
307,Q3 2022/23,2022/09/27,National Research Foundation (NRF),"Three days of beginner and Intermediate Training
on Shimadzu Prominence HPLC and Shimadzu GC-
2010 systems",Advanced African Technology,"R 22 921,80",Sole Source: Advance African Technology is the sole supplier of Shimadzu instruments,2022/09/19,Once Off,Once Off,,Within AA/AO mandate Noting,New
308,Q3 2022/23,2022/10/24,National Research Foundation (NRF),"To procure the MEDraysintell, Nuclear Medicine
Report Edition-2022.",Chrysalium Consulting,"R 378 470,98","Single Source: A specific request of research reports where ownership of the requested
reports is with CHRYSALIUM CONSULTING",2022/10/11,Once Off,Once Off,,Within AA/AO mandate Noting,New
309,Q3 2022/23,2022/09/27,National Research Foundation (NRF),"Training course, that includes theoretical and
practical competency testing hosted by Esco
Technologies",Esco Technologies,"R 26 105,00","Sole Source: Esco Technologies is the only service provider that can provide this training to its customers
as the equipment, consumables are all Esco instruments",2022/09/18,Once Off,Once Off,,Within AA/AO mandate Noting,New
310,Q3 2022/23,2022/12/05,National Research Foundation (NRF),Procuring chemicals and consumables,Merck Life Sciences,"R 61 276,36",Sole Source: Merck Life Science is sole distributor for these products.,2022/11/25,Once Off,Once Off,,Within AA/AO mandate Noting,New
311,Q3 2022/23,2022/12/05,National Research Foundation (NRF),On-site mass calibration of balances,Microsep,"R 20 796,60","Sole Source: Microsep is the sole authorised distributor for Mettler-Toledo sales International GmbH in
South Africa.",2022/11/25,Once Off,Once Off,,Within AA/AO mandate Noting,New
312,Q3 2022/23,2022/12/14,National Research Foundation (NRF),"The NRF moved the Group Creditors Database
(GCD) proprietary software(of which Datasmith is
the owner) to a cloud environment that is hosted by
Datasmith.",Datasmith (Pty) Ltd,"R 120 000,00","Single Source: Datasmith (Pty) Ltd developed the GCD propriety software and is hosting it in the
cloud for the NRF to enable compliance to the National Treasury instruction pertaining to the
Central Supplier Database.",2022/12/07,2022/01/03,2023/03/31,,Within AA/AO mandate Noting,New
313,Q3 2022/23,2022/12/14,National Research Foundation (NRF),"Supply of transport needed for the SAEON Ndlovu
Node annual Grade 9 Science Day. This is
specifically for 2 game drive vehicles and armed
guards for 20 pax (for learners and SAEON staff
participating in a
Grade 9 Science Day event)",SANPARKS,"R 12 322,00","Single Supplier: SANParks is the only supplier offering the services of game drives at Kruger
National Park with open vehicles including a
game guard for larger groups",2022/12/01,2022/12/01,2023/01/15,,Within AA/AO mandate Noting,New
314,Q3 2022/23,2022/12/14,National Research Foundation (NRF),"Deviation for the supply of premium, royalty-free
photographs, stock images, illustrations and vector
images for use in marketing and other materials",Gallo Images,"R 37 950,00",Sole Source :Supplier of marketing images,2022/12/05,2022/12/09,2023/11/30,,Within AA/AO mandate Noting,New
315,Q3 2022/23,2022/12/14,National Research Foundation (NRF),Generator failed to start during load shedding,Devco Power,"R 8 483,10","Emergency: The generator failed to start on three occasions after hours as frequency of loading
shedding had increased.Down time due to the generator could cause operations to halt
resulting in loss of data, resources and limiting research capabilities within SAAO",2022/12/08,Once Off,Once Off,,Within AA/AO mandate Noting,New
316,Q3 2022/23,2022/12/14,National Research Foundation (NRF),"Repair of UPS motor/generator and rewind
transformers",LH Marthinused,"R 1 147 452,75","Urgent: The motor generator set needs to be chemically cleaned and baked-dry to get rid of all
carbon contamination. Any failure or temporary interruption in the Eskom power supply places a
significant and real risk of damage on critical systems.",2022/12/12,Once Off,Once Off,,Within AA/AO mandate Noting,New
317,Q3 2022/23,2022/12/14,National Research Foundation (NRF),"Emergency battery replacement for data-center
UPS",Powermode,"R 48 817,50","Emergency: Due to the frequent load-shedding events the batteries in our Cape Town UPS has
degraded to the point that it no longer lasts more than 4 minutes. The outages caused many
hours of down time since it does not carry the load long enough for the generator to kick in. This
also has the potential to cause damage to much more expensive hardware like servers and
storage if we don’t get the batteries replaced.",2022/12/09,Once Off,Once Off,,Within AA/AO mandate Noting,New
318,Q3 2022/23,2022/12/14,National Research Foundation (NRF),Petrol,Sutherlandse Landbou Ko-op,"R 45 460,00","Single source· On nearing the re-order level, we initiated the normal procurement process for
petrol fuel replenishment.· The suppliers on the RT 70 did not respond on the request and some
are unable to deliver in Sutherland.·Due to this we need to do emergency procurement for at
least 2000litres because the capacity of our storage tank isonly 2000 litres.· Not procuring these
emergency supplies places the SAAO infrastructure and the several hosted experiments at risk
of operational failure.",2022/12/05,Once Off,Once Off,,Within AA/AO mandate Noting,New
319,Q3 2022/23,2022/10/21,National School for Government,Delivery of executive development programme,University of free state,R -,Expansion of scope due to previous experience and quality of service,2022/10/12,2022/10/12,2022/10/13,,Within AA/AO,New
320,Q3 2022/23,18/11/2022,National Treasury,"Deviation from cost contianment policy and procure
soft drinks while conducting training in Cape Town:
Capacity Building",The Pink Glittz (Pty) Ltd,"R 21 570,00",The training venue does not provide drinking water or any beverages,2022/11/07,N/A,N/A,,Within AA/AO,New
321,Q3 2022/23,2022/12/01,National Treasury,"Deviation from cost contianment policy and procure
soft drinks while conducting training in Cape Town:
Capacity Building",Armadillos Catering Services,"R 3 952,00","Procurement of catering that include sugar free beveraged such as carbonated drinks and fruit juices the
option for bottled still or sparkling water may be necessary to ensure fair and equal treatment and hospitality
to such attendees, for meetings such as the EU - SA Annual Consultation.",2022/11/29,N/A,N/A,,Within AA/AO,New
322,Q3 2022/23,2022/09/23,National Treasury,"Deviation from normal procurement procedures to
utiise one quotation to urgently repiar the official
laptop for Joe Phago and request approval to
amend the Demand Management for 2022/23 to
accommocate the item",i-Store,"R 15 335,15",iStore in Menlyn Park have a special service provider for the repair of MacBook,2022/08/08,Not stated,Not stated,,Within AA/AO,New
323,Q3 2022/23,2022/12/01,National Treasury,"Request for approval to deviate from the normal
procurement process to procure venue and
catering services from SANDF as a single source
provider for the strategic planning session
scheduled for 23 November 2022",DOD Logistic Support,"R 28 344,00","The SADF has provided NT with a free venue for the Strategic Planning Session however catering is
required for the attendees, SADF has indicated that they have in-house catering to provide the catering
services for its venue facilitiues",2022/11/21,N/A,N/A,,Within AA/AO,New
324,Q3 2022/23,18/11/2022,National Treasury,"Request for approval of a deviation to appoint
Structure Works Complete Security Services to
provide maintenance on the honeywell pro-watch
integrated electronic security system at the National
Treasury buildings for a period of six (6) months",Structure Works Complete Security Services,"R 13 547,00","To provide maintenance on the Honeywell Pro-watch Integrated Electronic Security System (ESS) at the
National Treasury (NT) buildings for emergency situations and urgent cases",2022/09/30,2022/11/15,2023/05/15,,Within AA/AO,New
325,Q3 2022/23,2022/09/23,National Treasury,"Request for approval to pay for expenses incurred
on the emergency procurement of DG's Office door
Lock repair at 40 Church Square building",ER Locksmith,"R 870,00",Security to DG’s office,2022/09/16,Not stated,Not stated,,Within AA/AO,New
326,Q3 2022/23,18/11/2022,National Treasury,"Request for approval to pay for expenses incurred
on the emergency procurement of Ministry's air
conditioning repairs at 40 Church building",Dithsegofatso Air-Conditioning & Refrigeration,"R 19 061,80","The service was an emergency based on potential risk of disruption to critical Ministerial functions on both
Minister and Deputy Minister of Finance were having crucial metings at the time and urgent repairs were
required.",2022/11/09,N/A,N/A,,Within AA/AO,New
327,Q3 2022/23,2022/09/23,National Treasury,"Request for deviation to procure association of
Certified Fraud Examiners (ACFE) as a sole for the
15th Annual African Fraud Conference and
Exhibition for National Treasury officials to take
place from the 12 - 14 September 2022",Association of Certified Fraud Examiners (ACFE),"R 15 000,00",Single Source,2022/09/09,Not stated,Not stated,,Within AA/AO,New
328,Q3 2022/23,2022/10/19,National Treasury,"Request for deviation to procure Institute of
Municipal Engineering of Southern Africa (IMESA)
as a sole provider for National Treasury officials to
attend the IMESA conference schedule to take
place on the 2 - 4 November 2022",IMESA,"R 10 150,00",Sole Service Provider,2022/10/14,Once Off,Once Off,,Within AA/AO,New
329,Q3 2022/23,2022/09/23,National Treasury,"Request for deviation to procure SITA as a sole
provide for the Govtech Conference for a NT
officials totake place atthe Durban Exhbition Centre
on 13-15 September 2022",SITA,"R 105 000,00",Sole provider - SITA is the only organisation that offers the conference,2022/08/28,Not stated,Not stated,,Within AA/AO,New
330,Q3 2022/23,2022/12/15,National Treasury,"Request that the Acting Chief Financial Officer
grant approval to deviate from the normal
procurement process for the renewal of The
Economic Society South Africa membership for
another three years from (01 January 2023 to 31
December 2025).",The Economic Society of South Africa (ESSA),"R 124 456,00",Sole Provider,2022/12/09,2019/12/31,2025/12/31,,Within AA/AO,New
331,Q3 2022/23,2022/12/15,National Treasury,"Request that the Acting Director-General grant
approval to deviate from the normal procurement
process for renewal of the BER Macro Services
(BER) for another three years from (01 January
2023 to 31 December 2025)",Bureau for Economic Research (BER,"R 354 760,05",Sole Provider,2022/12/07,2019/02/11,2025/12/31,,Within AA/AO,New
332,Q3 2022/23,2022/12/15,National Treasury,"Request that the Acting Director-General grant
approval to deviate from the normal procurement
process for renewal of the Econostat Subscription
for another three years from (01 February 2023 to
31 January 2026)",IHS Information & Insight (Pty) Ltd,"R 797 385,62",Sole Provider,2022/12/07,2011/02/01,2026/01/31,,Within AA/AO,New
333,Q3 2022/23,2022/12/15,National Treasury,"Request to deviate from cost containment
measures: catering for OCPO full day strategic
planning meeting for the 7 December 2022",Amardillos Catering Services,"R 4 075,00","The management will require beverages along with their lunch and breakfast for the session due to the long
hours to be spent at the session.",2022/12/05,N/A,N/A,,Within AA/AO,New
334,Q3 2022/23,2022/09/23,National Treasury,"Request to deviate from normal procurement
processes to procure Leadership Academy as a
sole provider for Ms Zondre Seiteito attend the
building a sustainable Quality (BSQ) training
program",Leadership Academy,"R 6 402,05",Sole provider,2022/07/29,Not stated,Not stated,,Within AA/AO,New
335,Q3 2022/23,2022/09/23,National Treasury,"Request to deviate from normal procurement
processes to procure Seven7 trading as a sole
provider for the Mini-MBA for PAs and Secretaries
program to take place from 2-14 October 2022",SEVEN7 TRAINING,"R 67 996,00",Emergency procurement,2022/09/16,Not stated,Not stated,,Within AA/AO,New
336,Q3 2022/23,2022/10/19,National Treasury,"Request to deviate from the normal procurement
process and procure Get Smarter as a single
source for Mr Themba Zulu to the Business
International Relations and Political Economy online
certificate course for a period of six months",Get Smarter,"R 26 497,00",Single Source,2022/10/03,Once Off,Once Off,,Within AA/AO,New
337,Q3 2022/23,2022/10/19,National Treasury,"Request to deviation from normal process and
procure direct from the service providers that have
been secured and approved by the conference
organisers: IMESA Conference on 2 - 4 November
2022",IMESA,"R 60 000,00",Sole Service Provider,2022/10/17,Once Off,Once Off,,Within AA/AO,New
338,Q3 2022/23,2022/10/19,National Treasury,"Request to deviation from the normal procurement
processes to procure Real IRM as a sinle source
for employees to attend TOGAF9 certification
course from 24- 28 October 2022 ot alternatively 5-
9 December 2022",Real IRM,"R 47 605,40",Single Source,2022/10/13,Once Off,Once Off,,Within AA/AO,New
339,Q3 2022/23,2022/09/23,National Treasury,"RFQ22-06-07: Request for approval to deviate
from normal procurement procedures and appoint a
service provider to provide IBM MQ Websphere
renewal and ad hoc support for a period of threee
years",Jumpco Consulting,"R 708 197,70","Due to the urgency and limited time for the service requested, SCM could not re-issue the RFQ to market to
obtain the required minimum of three quotations.",2022/09/08,Not stated,Not stated,,Within AA/AO,New
340,Q3 2022/23,2022/11/01,NTP Radiosotopes SOC Ltd (NTP),"Autoscribe Laboratory Information Management
system (LIMS)",Autoscribe,"R 197 887,67",Sole supplier,2022/10/03,Not stated,Not stated,,Noting,New
341,Q3 2022/23,2022/10/11,NTP Radiosotopes SOC Ltd (NTP),"Convertion of FISSION IODINE I-131 DMF from
CTD to e-CTD format as per international
regulators'",Billev Pahrma,"R 85 082,38",International regulatory related processes,2022/09/14,Not Stated,Not Stated,,Noting,New
342,Q3 2022/23,2022/11/01,NTP Radiosotopes SOC Ltd (NTP),Corective maintenance and upgrade of parts,Comecer,"R 89 260,23",Sole supplier,2022/10/09,Not stated,Not stated,,Noting,New
343,Q3 2022/23,2022/10/11,NTP Radiosotopes SOC Ltd (NTP),Kr-85 ampoule,Eckert & Ziegler Nuclitec GmbH,"R 506 069,60",Quality Validated Process,2022/09/27,Not Stated,Not Stated,,Noting,New
344,Q3 2022/23,2022/11/01,NTP Radiosotopes SOC Ltd (NTP),Lithium Sulphate Monohydrate,Associated Chemical Enterprises,"R 140 000,00",Quality Validated Process,2022/10/04,Not stated,Not stated,,Noting,New
345,Q3 2022/23,2022/10/11,NTP Radiosotopes SOC Ltd (NTP),Service and repair of IC equipment,Anatech,"R 160 296,92",Sole supplier,2022/09/01,Not Stated,Not Stated,,Noting,New
346,Q3 2022/23,2022/11/01,NTP Radiosotopes SOC Ltd (NTP),Servicing of the TOC Analyser,Chemetrix,"R 88 980,17",Sole supplier,2022/10/03,Not stated,Not stated,,Noting,New
347,Q3 2022/23,2022/10/11,NTP Radiosotopes SOC Ltd (NTP),Sodium Hydroxide,Merck,"R 175 872,00",Quality Validated Process,2022/09/19,Not Stated,Not Stated,,Noting,New
348,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),IRMSA MEMBERSHIP AND CONFERENCE,Institution of Risk Management SA,"R 26 955,00",Conferencing,2022/09/19,Not stated,Not stated,,Noting,New
349,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),12TH PSALM CONFERENCE,Milla Trading T/A Millasa,"R 17 227,00",Attance conference,2022/09/30,Not stated,Not stated,,Noting,New
350,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"ADVERTISEMENT OF HR CRITICAL VACANT
POSTS",Arena Holdings,"R 127 988,10",Advertisement of critical HR posts,2022/05/12,Not stated,Not stated,,Noting,New
351,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"ADVERTISEMENT OF HR CRITICAL VACANT
POSTS",Arena Holdings,"R 170 650,80",Advertisement of critical HR posts,2022/06/02,Not stated,Not stated,,Noting,New
352,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"ADVERTISEMENT OF HR CRITICAL VACANT
POSTS",Arena Holdings,"R 33 182,10","Given the importance of these positions and the identified gaps on OVG data processing, there is an urgent
need to fill these posts. Recruitment and selection policy requires that all vacancies must be advertised
publicly",2022/11/10,Not stated,Not stated,,Noting,New
353,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF MULTICHOICE TO PROVIDE
DSTV SERVICES",Multichoice,"R 45 000,00",Sole Provider,2022/07/29,Not stated,2024/07/31,,Noting,New
354,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF PROF MOOYA TO ADVICE
AUDITOR-GENERAL ON AN EXPROPRIATION
MATTER",Prof. Mooya,"R 90 000,00","For purpose of assisting Valuer-General to adequately advice Minister on expropriation of the remainder of
Farm Highlands, regarding the finality of determied value (Western Cape)",2022/08/26,2022/09/19,2023/12/31,,Noting,New
355,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF SERVICE PROVIDER FOR
CONSULTATION FOR A PERIOD OF 8 WEEKS",MMB Consulting,"R 194 120,00",Urgent matter,2022/06/07,2022/06/15,2022/08/15,,Noting,New
356,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF SERVICE PROVIDER FOR
OVG E-MAIL MIGRATION",Telkom SA SOC Limited,"R 122 572,75","Telkom is hosting OVG e-mails, this will ensure seamless uninterrupted transition to Microsoft 365 exchange",2022/11/02,2022/11/02,2022/11/30,,Noting,New
357,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"APPOINTMENT OF SUPPLIER TO SUPPLY RFID
TAGS (BARCODES)",IPIN Technologies (Pty) Ltd,"R 20 757,50",Two failed procurement process,2022/08/22,Not stated,Not stated,,Noting,New
358,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),COMPETENCY ASSESSMENT,Experential Technologies,"R 8 991,00",Competency Assessment,2022/10/03,Not stated,Not stated,,Noting,New
359,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"DEVIATION FROM SCM PROCESS BY NOT
OBTAINING QUOTES FROM CSD & PROCURE
43 PARKING BAYS AT THE STATE THEATRE
PARKING FOR A PERIOD OF 24 MONTHS",State Theatre,"R 627 800,00",To provide additional parking bays for 43 officials,2022/08/02,Not stated,2024/08/02,,Noting,New
360,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"DIRECTLY APPOINT CSIR FOR VULNERABILITY
ASSESSMENT AND DATA CLEANING ON OVG
DATA",CSIR,"R 343 137,00",Preferred Supplier,2022/08/30,2022/08/30,2023/03/31,,Noting,New
361,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"DIRECTLY APPOINT LEISHAN IT
CONSULTANCY FOR THE RENTAL AND
INSTALLATION OF THE SERVER",Leishan IT Consultancy,"R 78 173,55",Due to cyber security breach,2022/08/25,2022/08/25,2022/11/25,,Noting,New
362,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),GOVTECH CONFERENCE,SITA,"R 39 600,00",Conferencing,2022/09/01,Not stated,Not stated,,Noting,New
363,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),LEGISLATIVE DRAFTING WORKSHOP,Robert Edwin Conference,"R 37 946,55",Workshop,2022/07/19,Not stated,Not stated,,Noting,New
364,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"PROCURE ONLINE LAW LIBRARY SERVICES
FROM JUTA FOR A PERIOD OF 12 MONTHS",Juta & LexisNexis,"R 56 872,00","Legal Services need to have access to existing laws as well as to keep abreast with all developments in the
Legal field",2022/09/23,2022/11/30,2023/11/30,,Noting,New
365,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"PROCURE ONLINE LAW LIBRARY SERVICES
FROM LEXISNEXIS FOR A PERIOD OF 12
MONTHS",LexisNexis,"R 60 392,42","Legal Services need to have access to existing laws as well as to keep abreast with all developments in the
Legal field",2022/09/23,2022/11/30,2023/11/30,,Noting,New
366,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),"REQUEST FOR AN APPROVAL TO DIRECTLY
APPOINT TELKOM FOR E-MAIL HOSTING",Telkom SA SOC Limited,"R 42 750,00","There is a need to continue with the services of e-mail hosting through Telkom, in order to ensure continuity
of the OVG's operations for the internal and external stakeholders",2022/06/30,2022/07/01,2022/09/30,,Noting,New
367,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),SAPOA CONVENTION 2022,South African Property Owner Association,"R 333 500,00",Convention,2022/09/13,Not stated,Not stated,,Noting,New
368,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),SAPOA EXHIBITION STALL PACKAGE,GL Events South Africa,"R 11 779,34",Gl Events South Africa,2022/09/13,Not stated,Not stated,,Noting,New
369,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),SAPOA FULL LOINGE PACKAGE,South African Property Owner Association,"R 54 625,00",Attendance of the SAPOA,2022/09/26,Not stated,Not stated,,Noting,New
370,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),SECRETARIES,Gen Alpha Trading Solutions,"R 104 993,00",Secretaries workshop,2022/08/08,Not stated,Not stated,,Noting,New
371,Q3 2022/23,2022/11/21,Office of the Valuer-General (OVG),TOTAL QUALITY MANAGEMENT TRAINING,University of Pretoria,"R 137 600,00",Trainining,2022/11/07,Not stated,Not stated,,Noting,New
372,Q3 2022/23,2022/11/14,Pan South African Language Board (PanSALB),Dictionary Content Editing,African Tongue CC,"R 60 000,00",Limited bidding (Sole Supplier),2022/11/14,2022/11/15,2022/12/09,,Within AA/AO mandate Noting,New
373,Q3 2022/23,2022/11/16,Petroleum Agency South Africa (PASA),Electrical works,Electrical Reticulation Company Ltd,"R 1 257 724,44",Urgent matter,2022/10/27,Not stated,Not stated,,Noting,New
374,Q3 2022/23,2022/11/16,Petroleum Agency South Africa (PASA),"Expert Advisory and Consultancy on the Law of the
Sea and International Boundary Delimitation",GeoLimits Consulting,"R 650 000,00",Preferred Supplier,2022/10/27,Not stated,Not stated,,Noting,New
375,Q3 2022/23,2022/12/14,Petroleum Agency South Africa (PASA),Network cabling at Heron's Place Century City,Altron Systems Integration,"R 862 221,70",Urgency of the required service,2022/11/23,2022/12/01,28/2/2023,,Noting,New
376,Q3 2022/23,2022/10/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",External training - HLO fire,Project Maritime Training,"R 84 233,60",single source,2022/10/13,2022/10/13,15/22/2022,,Noting,New
377,Q3 2022/23,2022/09/22,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Gas Detectors,PSA Africa,"R 2 195 500,00",Sole source,2022/04/08,2022/04/08,2022/06/10,,Noting,New
378,Q3 2022/23,2022/10/28,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Sand mineral slag 0.2 to 1.4 particles 1,Blastrite Pty Limited,"R 45 988,03",sole source,2022/10/13,2022/10/13,2022/10/28,,Noting,New
379,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Municipal power - Voorbaai Tank Farm,Mossel Bay - WC Local Municipality,"R 6 300 000,00",Sole Source,2022/11/15,2022/11/15,2023/03/31,,Noting,New
380,Q3 2022/23,2022/12/12,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Oil idustr gengear,Engen Petroleum,"R 130 893,00",Sole Source,2022/11/18,2022/11/18,2022/11/30,,Noting,New
