3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 1 REPORT EXPANSIONS,,,,,,,,,,,,,
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
286,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension of NIIS and CMS deployment and ABIS phase 2
integration for a period of six months",Dimension Data,CMS integration with mobile scanners and delays on ABIS Phase 2 integration,"R 21 069 823,17","R 105 947 302,00","R 202 422 810,16",2024/04/28,2024/04/01,2024/09/30,Reported
287,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension of cleaning services in Refugee Centres : Port
Elizabeth, Musina, Cape Town and Cape Town Harbour for a
period of three (3) months",Maboka Cleaning Services,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 407 022,00","R 3 254 702,04","R 1 798 516,86",2024/04/28,2024/04/01,2024/06/30,Reported
288,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension of cleaning services in Durban Refugee Centre for a
period of three (3) months",Nesoscope Holdings,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 120 208,44","R 889 149,60","R 188 897,52",2024/03/28,2024/04/01,2024/06/30,Reported
289,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension of cleaning services in Hallmark, Bvr, Fsi, Passport
Factory, Centre Walk, Archive Stores In Brits, Rosslyn and
Heyvries Buildings for a period of three (3) months",SBAPA,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 1 083 990,60","R 12 052 800,00","R 6 866 923,00",2024/03/28,2024/04/01,2024/06/30,Reported
290,Q1 2024/25,2024/04/05,Department of Home Affairs (DHA),"Extension of cleaning services in Desmond Tutu Refugee Centre
for a period of three (3) months",Tomema Trading,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 468 183,54","R 3 442 917,60","R 655 831,14",2024/05/28,2024/04/01,2024/06/30,Reported
291,Q1 2024/25,2024/04/05,Competition Commission,Provision for physical security services,SBL undertaking,"To allow the secutiry tender process to be
concluded","R 175 000,00","R 7 000 000,00",R -,2024/03/29,2024/04/01,2024/04/30,Reported
292,Q1 2024/25,2024/04/06,Border Management Authority (BMA),"Extension of scipe on the mondtes contract for the development
of mapping tables on the sage 300 system for the payment of the
Government employee housing savings.",Mondtes Holdings,"The Government Employee Housing Scheme is managed by the National Treasury and allows for
employees to either apply for the housing allowance benefit or withdraw from their benefits/savings.
Where the employees need to withdraw their GEHS saving these are normally done through
Departments PERSAL systems that interface with National Treasury. Departments or Public
entinties that are not on the Persal system normally utilise connectors like Connect Direct or","R 70 380,00","R 5 365 936,80",R -,2023/06/30,2023/07/01,2024/06/30,Reported
293,Q1 2024/25,2024/04/08,State Information Technology Agency (SITA),Provision of In-House Travel Management Company,Travel with Fair (Pty) Ltd,Business continuity until the replacement contract is in place.,"R 46 266 733,73","R 155 947 876,96",R -,2024/03/28,2024/04/01,2024/10/31,Reported
294,Q1 2024/25,2024/04/08,South African Revenue Service (SARS),"Procurement of Audio Visual for Revenue Result Announcement
Media Conference",Airlocked Events Management and Projects,Adjustment of Audio Visual Equipment due to additional number of guests attendance,"R 77 038,50","R 180 780,00",R -,2024/04/02,2024/04/02,Not indicated,Reported
295,Q1 2024/25,"C
2024/04/09","ommission for Conciliation, Mediation and Arbitration (CCM","A)
Cleaning services",Le-Grat Group,Contract extended in line with the lease extension,"R 84 000,00","R 499 200,00",R -,2024/03/28,2024/04/01,2024/08/31,Reported
296,Q1 2024/25,"C
2024/04/09","ommission for Conciliation, Mediation and Arbitration (CCM","A)
Office lease",Murwil Properties,Lease extended due to non-responsive bif,"R 4 154 274,00","R 6 684 907,68",R -,2024/02/16,2024/04/01,2027/05/31,Reported
297,Q1 2024/25,2024/04/09,Department of Employment and Labour (DEL),"Approval to extend the SLA with AssessmentWorld (Pty) Ltd for a
periodnof three years",AssessmentWorld (Pty) Ltd.,Sole Supplier,"R 8 505 000,00","R 8 100 000,00",R -,2024/03/14,Not indicated,Not indicated,Reported
298,Q1 2024/25,2024/04/10,Film and Publication Board (FPB),"Expansion of scope for RW Attorneys to perform Forensic
investigation under PO 2252",RW Attorneys,Expansion of scope to include Forensics,"R 313 163,50","R 343 850,00",R -,2023/09/12,2023/09/22,2024/03/31,Reported
299,Q1 2024/25,2024/04/10,National Treasury,"Request for approval for the extension of time on the contract
between National Treasury(Intergovernmental and Economic
Policy Division) with the Human Sciences Research Council for
mining, distribution and analysis of spatialised tax data.",HSRC,"Given the success of the NT/HSRC patnership it is recommended that there is no-cost extension to
the existing MOU that expires in June 2024 when the UK FCDO funding to SEAD-SA is
completed.The extension will ensure that National Treasury's patnership and strategic role in the
SEAD-SA programme is acknowledged and that NT’s oversight on the programme continues and
ensures that the desired objectives of the partnership with the HSRC are met.","R 1 515 593,00",R -,R -,2021/07/21,,,
300,Q1 2024/25,2024/04/11,Statistics South Africa (Stats SA),Fortigate Firewall,Xon/Nec,Delay in concluding the tender due to a matter the Department took under advisement,"R 835 288,13","R 1 105 150,00",R -,2024/03/27,2024/04/01,2024/06/30,Reported
301,Q1 2024/25,2024/04/11,Department of Home Affairs (DHA),"Extension of cleaning services in Refugee Centres : Port
Elizabeth, Musina, Cape Town and Cape Town Harbour for a
period of three (3) months",Maboka Cleaning Services,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 407 022,00","R 3 254 702,04","R 1 798 516,86",2024/03/28,2024/04/01,2024/06/30,Reported
302,Q1 2024/25,2024/04/11,Department of Home Affairs (DHA),"Extension of cleaning services in Durban Refugee Centre for a
period of three (3) months",Nesoscope Holdings,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 120 208,44","R 889 149,60","R 188 897,52",2024/03/28,2024/04/01,2024/06/30,Reported
303,Q1 2024/25,2024/04/11,Department of Home Affairs (DHA),"Extension of cleaning services in Durban Refugee Centre for a
period of three (3) months",SBAPA,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 1 083 990,60","R 12 052 800,00","R 6 866 923,00",2024/03/28,2024/04/01,2024/06/30,Reported
304,Q1 2024/25,2024/04/11,Department of Home Affairs (DHA),"Extension of cleaning services in Desmond Tutu Refugee Centre
for a period of three (3) months",Tomema Trading,"The extension of this contract will allow the DHA sufficient time to process the following:
• Evaluation of the bid documents
• Successful bidders to hire employees for the project","R 468 183,54","R 3 442 917,60","R 655 831,14",2024/03/28,2024/04/01,2024/06/30,Reported
305,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,Commercial Fleet Insurance,Simah Risk Advisors (Pty) Ltd,The tender has been cancelled and a new tender is currently running.,"R 2 389 348,00","R 4 399 674,00","R 606 012,00",2024/03/28,2024/04/01,2024/09/30,Reported
306,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,Gauteng Provincial Office Accommodation,Gemgrow Properties (Pty) Ltd,"A bid was advertised and closed on the 15th March 2024. Bid Evaluation Committee session is
being arranged.","R 1 397 587,89","R 10 035 550,92",R -,2024/03/28,2024/04/01,2024/09/30,Reported
307,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,Local Office Accommodation - WC022 - Witzenberg Local Office,Momotheka Trade 1183 CC,"The reason for the shorter term contract extension is to allow a window period to conclude the
tender process.","R 85 902,08","R 1 515 783,40","R 214 755,20",2024/02/21,2024/05/01,2024/12/31,Reported
308,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,"Local Office Accommodation - CPT - City of Cape Town (Athlone)
Local Office",Busy Corner Property Investment (Pty) Ltd,"The reason for the shorter term contract extension is to allow a window period to conclude the
tender process.","R 332 075,44","R 3 718 012,00","R 431 266,80",2023/12/19,2024/01/01,2024/06/30,Reported
309,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,"Local Office Accommodation - LIM367 - Mogalakwena Local
Office",Pieters & Stef Trust,"The reason for the shorter term contract extension is to allow a window period to conclude the
tender process.","R 425 277,08","R 1 809 053,90","R 144 411,01",2024/01/31,2024/02/01,2025/01/31,Reported
310,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,"Local Office Accommodation - LIM331 -Greater Giyani Local
Office",KP Electronics (Pty) Ltd,"The reason for the shorter term contract extension is to allow a window period to conclude the
tender process.","R 501 574,56","R 2 882 369,04",R -,2024/01/31,2024/02/01,2025/01/31,Reported
311,Q1 2024/25,2024/04/12,Electoral Commission (IEC) of South Africa,"Local Office Accommodation - NW385 - Ramotshere Moiloa Local
Office",A Theodossi,"The reason for the shorter term contract extension is to allow a window period to conclude the
tender process.","R 134 461,44","R 1 536 983,28","R 134 461,44",2024/01/31,2024/02/01,2024/07/31,Reported
312,Q1 2024/25,2024/04/15,Electoral Commission (IEC) of South Africa,Acces Point Name (APN),Vodacom (Pty) Ltd,"The Electoral Commission issued an APN tender IEC/ICT-03-2023 on 12 June 2023 and it closed
on 11 July 2023. This tender was evaluated, however it yielded no successful bidder. EXCO
approved a cancellation on 22 September 2023.","R 14 126 795,88","R 9 845 958,00","R 9 845 958,00",2023/12/22,2024/01/01,2024/06/30,Reported
313,Q1 2024/25,2024/04/15,Electoral Commission (IEC) of South Africa,Commercial Fleet Insurance,Simah Risk Advisors (Pty) Ltd,"The Electoral Commission entered into a lease agreement with Simah Risk Advisors (Pty) Ltd for a
three (3) year period from 1 January 2021 to 31 December 2023. The estimated contract value
was R7.5million including VAT.","R 4 399 674,00","R 2 389 348,00","R 606 012,00",2024/03/26,2024/04/01,2024/10/31,Reported
314,Q1 2024/25,2024/04/15,Electoral Commission (IEC) of South Africa,Gauteng Provincial Office Accommodation,Gemgrow Properties (Pty) Ltd,"The tender to lease office accommodation for Gauteng provincial office was advertised on the 23
April 2023. The tender was evaluated on 22 June 2023, however none of the bidders complied with
the technical requirements of the bid.","R 10 035 550,92","R 1 397 587,89",R -,2024/03/28,2024/04/01,2024/09/30,Reported
315,Q1 2024/25,2024/04/15,Sentech,"Motivation for the extension of the support contract with
GDS/NetInsight for support of Nimbra equipment from 01/02/ 2024
to 31/01/2025",GDS/NetInsight,For the support of the Nimbra network equipment for a period of twelve months (12),"R 2 135 516,84","R 10 044 410,10","R 1 441 559,48",2023/01/30,2018/07/01,2025/01/31,Reported
316,Q1 2024/25,2024/04/15,Sentech,"Motivation to request for approval of for variation of purchase
order for Motheo Construction for the construction of the
Constantiabeg Powerline.",Motheo Construction,To allow the replacement of the powerline to be completed.,"R 673 434,16","R 2 576 249,55","R 359 843,48",2023/10/03,2021/08/27,2024/03/30,Reported
317,Q1 2024/25,2024/04/15,Sentech,"Request for Contract variation of Software License fee for Data
analytic and AI Project",WebGap,"To purchase twitter (X) API for access to 10K Tweets/month,
and two (2) application environments, which is a basic access to data for prototyping.","R 32 947,50","R 995 325,00",R -,2024/02/21,Not indicated,Not indicated,Reported
318,Q1 2024/25,2024/04/15,Sentech,"Request for Extension of Records and Archiving contract with
Metrofile",MetroFile,The comprehensive classification of records in accordance with the file plan.,"R 270 000,00","R 2 700 000,00",R -,2024/03/05,2018/12/10,2025/03/08,Reported
319,Q1 2024/25,2024/04/15,Sentech,"To seek approval/notification for contract adjustment of the
ADTI/Citek Telecom Planning Tool System for Broadcasting and
Broadband Planning.",ADTI/Citek,"The ADTI/Citek contract is up for annual payment. The system is giving error when a purchase order
is generated because of shortfall in the current contract.","R 367 320,00","R 1 027 584,00",R -,2024/03/05,2022/02/01,2025/01/31,Reported
320,Q1 2024/25,2024/04/15,Sentech,"Motivation to request approval for the contract extension for
further 2 months for the DTT After-Market Call Centre Support
pending the completion of the signing process for the DTT After-
Market Support tripartite agreement",ELEV8 Group,"To allow for the finalisation of the After-Market Support tripartite agreement renewal, the new SCM
process to be finalised and a handover to take place between the current and the new service
provider.","R 285 548,28","R 99 941 900,00",R -,2024/03/13,2023/09/01,2024/05/31,Reported
321,,2024/04/15,Sentech,"Motivation to request approval for the purchase order variation for
the deployment of additional 30 sites in Mpumalanga for SA
Connect Phase 2",Yala BV,"To increase the Purchase Order value with YALA BV to enable deployment of an additional 30 sites
in Mpumalanga for SA Connect Phase 2","R 1 195 427,38","R 1 593 903,17",R -,2024/03/13,Not indicated,Not indicated,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
322,Q1 2024/25,2024/04/16,Independent Regulatory Board for Auditors (IRBA),Printing of IRBA competency Framework Roadmap,Lebone Litho Printers Pty Ltd,Change in scope,"R 776,83","R 2 500,00",R -,2024/04/15,2024/03/12,Not indicated,Reported
323,Q1 2024/25,2024/04/22,Department of Home Affairs (DHA),"Memorandum of Agreement to ensure continued support with
Enhanced Movement Control System (EMCS) operations
management",South African Revenue Services (SARS),To resolve the outstanding issues in collaboration with BMA and IMS,R -,"R 5 532 348,80",R -,2024/03/26,2024/04/01,2024/06/30,Reported
324,Q1 2024/25,2024/04/26,State Information Technology Agency (SITA),"Expansion for diesel replenishment contract for the SITA
Switching Centres for a period of twelve months",TTM Trading and Projects (Pty) Ltd,Highers stages of loadshedding implemented.,"R 5 517 610,00","R 3 235 525,00",R -,2024/11/07,2023/11/29,2024/11/30,Reported
325,Q1 2024/25,2024/04/29,Brand South Africa,Panel of Brand Agencies,"1. BrandFusion (Pty) Ltd. 2. The Brand
Leadership Group (Pty) Ltd. 3. Ebony and
Ivory Advertising, Marketing Promotions",To allow SCM to finalise the tender process,"R 42 328 259,00",R -,R -,2021/03/31,2021/04/01,2024/08/31,Reported
326,Q1 2024/25,2024/05/02,Broadband Infraco,"Warehouse and office space for the Upington Regional Office for
a period of thirty (36) months.",Dehari eiendomme,"Provision of warehouse and office space for the Upington Regional Office for a period of three (3)
years.","R 946 574,16","R 652 261,00",R -,2023/12/26,2023/12/26,2025/12/25,Reported
327,Q1 2024/25,2024/05/02,Brand South Africa,Travel Management Agencies,Atlantis Corporate Travel,To allow the SCM unit finalise the tender process,"R 7 546 545,36",R -,"R 6 621 397,76",Not indicated,2018/12/01,2024/08/31,Reported
328,Q1 2024/25,2024/05/03,South African Revenue Service (SARS),"Extension of a subsisting agreements between SARS and Nexia
SAB&T and Deloitte & Touche for a period of two (2) months with
no financial implication",Deloitte and Touche and Nexia SAB&T,"Procurement to approve the extension of a subsisting agreements between SARS and Nexia
SAB&T and Deloitte & Touche for a period of two (2) months with no financial implication",R -,"R 99 736 093,42",R -,2024/04/29,2024/05/13,2024/07/12,Reported
329,Q1 2024/25,2024/05/03,South African Revenue Service (SARS),"Extension of subsisting agreements between SARS and Tipp
Focus Holdings (Pty) Ltd, Accounting and Financial Advisory (Pty)
Ltd and Deloitte & Touche for a period of two months with no
financial implication","Tipp Focus Holdings Accounting & Financial
Advisory Deloitte & Touche","Procurement to approve the extension of subsisting agreements between SARS and Tipp Focus
Holdings (Pty) Ltd, Accounting and Financial Advisory (Pty) Ltd and Deloitte & Touche for a period
of two months with no financial implication",R -,"R 21 393 833,20","R 6 951 405,00",2024/04/29,2024/05/05,2024/05/04,Reported
330,Q1 2024/25,2024/05/03,South African Revenue Service (SARS),Soweto Bara Lease Extension,"Jarrabilla Investments (Pty) Limited (a
subsidiary of Dipula Income Fund)","The lease agreement extension between SARS and Jarrabilla Investments (Pty) Limited for the
Soweto Bara TPS branch office for a period of one (1) year and not the three (3) as was requested.
The estimated total cost for one year is R3 650 790.00.","R 19 807 033,82","R 13 171 575,81","R 19 807 033,82",2024/04/26,2024/05/01,2024/04/30,Reported
331,Q1 2024/25,2024/05/06,South African Revenue Service (SARS),Asset technical review in terms of GRAP,Altimax,Technical review required to enable SARS to meet its statutory obligations in time for AG audit,"R 50 400,00","R 496 800,00",R -,2024/04/29,2024/02/08,2024/05/31,Reported
332,Q1 2024/25,2024/05/08,Financial Intelligence Centre (FIC),"Request for approval to expand the contract with MJL
Technologic consulting (Pty) Ltd with ninety additional nFront
password filter user licenses, with support and maintenance, for a
period of one year from 28 April 2024 to 27 April 2025",MJL Technologic consulting (Pty) Ltd,To make provision for ninety new additional staff members in the FIC.,"R 17 854,10","R 46 368,00",R -,2024/04/24,2024/05/28,2025/05/27,Reported
333,Q1 2024/25,2024/05/10,Department of Home Affairs (DHA),"Extension of scope of Fullswing Trading 458 (Pty) Ltd to include
IT/Data cabling and other IT related and equipment and
accessories.",Fullswing Trading 458 (Pty) Ltd,In order to meet the deadline to open Cresta and Pavillion offices on the 11 and 22 April 2024.,R -,R -,R -,2024/04/26,2024/01/02,2026/12/31,Reported
334,Q1 2024/25,2024/05/13,Department of Employment and Labour (DEL),"Request for approval to deviate from the normal procurement
processes and extend the lease agreement entered into between
Unemployment Insurance Fund and the South African State
Theatre for provision of parking facility consisting of 311 parking
bays for a fixed period of twelve (12) months and thereafter on a
month to month basis for a period not exceeding five (05) months.",South African State Theatre,"IThe Fund entered into a lease agreement with the South African State Theatre for leasing of 311
parking bays and further card administration of 69 parking bays leased separately with the Absa
Towers Building Landlord. The lease agreement was for a fixed period of six (06) months
commenced on the 01 July 2022 ending in December 2022, and thereafter on a month to month not
exceeding six (06) months. The contract is currently on a month to month until the 31 June 2023.","R 616 827,90","R 2 284 098,00",R -,2023/05/16,2023/06/29,2024/06/30,Reported
335,Q1 2024/25,2024/05/14,Department of Home Affairs (DHA),"Ad hoc services from Mafoko security at the presidential unveiling
of mobile offices in Mokopene on 07 May 2024.",Mafoko Security Patrols (Pty) Ltd,"Ad hoc services from the contracted security guarding services at the presidential unveiling of
mobile offices in Mokopane.","R 24 873,81","R 54 761 289,83",R -,2024/05/02,2024/05/07,2024/05/07,Reported
336,Q1 2024/25,2024/05/14,Department of Home Affairs (DHA),"Extension of scope to cover Lindela reparation centre from the 19
March 2024 until 18 April 2024",Phuthadichaba Trading Enterprise cc,Extensions of scope to cover Lindela repatriation centre which was an emergency matter.,"R 1 556 924,28","R 82 697 633,53",R -,2024/04/30,2024/03/19,2024/04/18,Reported
337,Q1 2024/25,2024/05/20,National Treasury,"To request the Director-General to approve the continuation of
the parking lease agreement between National Treasury and
Karabo Parking Management (Pty) Ltd for parking facilities at Van
Erkom parking arcade for a period of ten (10) months from 31 May
2024 to 31 March 2025 on a month to month basis.",Karabo Parking Management (Pty) Ltd,"The directorate: Facilities Management has found it challenging to attain parking in the Pretoria
Central Business District area due to a high demand for parking in close proximity to the National
Treasury buildings. In light of this, National Treasury is compelled to enter directly into a contract
with Karabo Parking Management (Pty) Ltd until such time that the department of Public Works and
Infrastructure concludes the acquisition of tempoarary accomodation in line with the agreed
acquision schedule viz.1 March 2025 (Annexure C)","R 1 800 000,00","R 19 834 677,60",R -,2024/05/16,2021/05/31,2025/03/31,Reported
338,Q1 2024/25,2024/05/21,South African Revenue Service (SARS),"Approval to vary the contract period of RFP 46-2018 Bulk Printing
Agreement (Pre-printed Forms and System Generated Forms)
with Bidvest Data and Shereno Printers for a period of twelve (12)
months from 01 June 2024 to 31 May 2025.",Bidvest Data Shereno Printers,Time,R -,"R 244 988 412,37",R -,2024/05/16,2024/06/01,2024/05/31,Reported
339,Q1 2024/25,2024/05/22,Department of Home Affairs (DHA),"Extension of scope to cover Lindela reparation centre from the
19th of April 2024 until the 18th of May 2024.",Phuthadichaba Trading Enterprise,Extensions of scope to cover Lindela repatriation centre which was an emergency matter.,"R 986 052 044,00","R 82 697 633,53","R 1 556 924,28",2024/05/17,2024/04/19,2024/05/18,Reported
340,Q1 2024/25,2024/05/21,Sasria SOC Ltd,Audit Highbond Licenses,Surtech Solutions RSA (Pty) Ltd,"Surtech Solutions (Pty) Ltd is the sole distributor of Galvanize Software
(Including High Bond/Audit Bond) in South Africa (see letter from Galvanize","R 4 736 729,73","R 3 420 297,86",R -,2024/05/30,2024/06/01,2027/05/31,Reported
341,Q1 2024/25,2024/05/20,Financial Sector Conduct Authority (FSCA),Update on acquisition of the intergrated regulatory system,Regnology.viso Limited,,"R 138 618 500,00","R 200 000 000,00",R -,2019/03/19,Not indicated,Not indicated,Reported
342,Q1 2024/25,2024/05/28,South African Revenue Service (SARS),"Provision of forensic investigations into the suspected
irregularities within the Physical Security Division for a period of
two (2) months at no additional cost.",ENS Forensic (Pty) Ltd,"Variation of subsisting agreement for the provision of forensic investigations into the suspected
irregularities within the Physical Security Division for a period of two (2) months at no additional
cost",R -,"R 700 000,00",R -,2024/05/23,2024/05/24,2024/07/23,Reported
343,Q1 2024/25,2024/05/28,South African Revenue Service (SARS),"LISA Subscription for an additional 12 R 0 Software Asset
Management team members at a cost of £ 19,080.00
(R507,957.30 including VAT @ an exchange rate of R23.10) for a
period of 24 month",Itam Learning Review Limited,"Extension of scope of work for the procurement of LISA Subscription for an additional 12 Software
Asset Management team members at a cost of £ 19,080.00 (R507,957.30 including VAT @ an
exchange rate of R23.10) for a period of 24 months.","R 507 957,30","R 184 351,90",R -,2024/05/24,2024/09/01,2026/07/31,Reported
344,Q1 2024/25,2024/05/30,State Information Technology Agency (SITA),"Upgrade of access link (KZN0256-20) of the Dpartment of Health
site (TURNING CLINIC) from 1 MEG to 10 MEG for a period of 60
months",Brilliant Telecommunications (Pty) Ltd,Upgrade of the link for better bandwidth performance.,"R 178 250,00","R 515 600,00",R -,2024/02/29,2024/02/07,2027/02/06,Reported
345,Q1 2024/25,2024/05/30,State Information Technology Agency (SITA),"Extension of contract between SITA and Vodacom Proprietary)
Limited for data cards for a period of twenty-four (24) months",Vodacom Proprietary) Limited,Enhance productivity,"R 288 820,00","R 98 956,80",R -,2024/04/15,2024/04/14,2026/04/13,Reported
346,Q1 2024/25,2024/05/30,State Information Technology Agency (SITA),"Expansion for diesel replenishment contract for the SITA
Switching Centres for a period of twelve months",TTM Trading and Projects (Pty) Ltd,Highers stages of loadshedding implemented.,"R 3 235 525,00","R 5 517 610,00",R -,2024/11/07,2023/11/29,2024/11/30,Reported
347,Q1 2024/25,2024/05/28,South African Revenue Service (SARS),"Provision of forensic investigations into the suspected
irregularities within the Physical Security Division for a period of
two (2) months at no additional cost.",ENS Forensic (Pty) Ltd,"Variation of subsisting agreement for the provision of forensic investigations into the suspected
irregularities within the Physical Security Division for a period of two (2) months at no additional
cost","R 2 717 684,27","R 4 268 251,21",R -,2024/05/23,2024/05/24,2024/07/23,Reported
348,Q1 2024/25,2024/05/30,State Information Technology Agency (SITA),"Variation of the contract between SITA and Sankofa Insurance
Brokers (Pty) Ltd for corporate insurance",Sankofa Insurance Brokers (Pty) Ltd,Increase of premium due to changes in the risk assessment.,"R 11 406 990,59",R -,"R 860 265,97",2024/04/30,2021/08/01,2024/07/31,Reported
349,Q1 2024/25,2024/05/30,State Information Technology Agency (SITA),"Provision of diesel to the 157 SAPS Switching Centres , Nodal
sites and SAPS high sites and 14 SITA sites",Infrasol (Pty) Ltd,(scope expansion and contract extension for a period of three (3) months),"R 7 978 125,00","R 29 281 875,00","R 11 740 000,00",2024/05/10,2024/04/17,2024/07/17,Reported
350,Q1 2024/25,2024/05/30,Public Service Commission (PSC),Utilization of the deeds registration system,"The Department of Agriculture, Land Reform
and rural development",The number of SMS members increased,"R 5 151,00","R 276 947,00",R -,2024/05/20,Not indicated,Not indicated,Reported
351,Q1 2024/25,2024/05/30,Department of Home Affairs (DHA),"Extension of scope to cover Matatiele medium office from the
24th of May 2024 until the 30th of September 2024.",Eastern Guard Security cc,"Due to upgrade of Matatiele office into a medium office, which will become vulnerable and exposed
to security breached due to lack of enough security measures that includes, but not limited to
security system and security officers on site","R 243 780,45","R 78 636 314,83",R -,2024/03/23,2021/10/21,2024/09/30,Reported
352,Q1 2024/25,2024/06/05,National Treasury,"To request approval from the Acting Chief Financial Officer to
amend the coaching agreement between the National Treasury
and Crucial Communications CC by increasing the budget of the
agreement",Crucial Communications CC,"Approval was granted on 20 November to extend SLA-0120 which was made out of a contract
amount of R803 160.00 and had R246 602.55 unspent at the end of agreement due to four (4)
employees that were unable to attend their sessions. Attempts were made to extend the sla to
accomodate those who could not attend their planned sessions and those that needed additional
sessions, however the extension was not processed as it reached legal late and resulted in drafting
of new contract (SLA-0200). In preparation of new agreement, an error was made with regards to","R 246 602,55","R 142 554,00",R -,2024/06/03,2023/11/20,2024/11/19,Reported
353,,2024/06/06,"Commission for Conciliation, Mediation and Arbitration
(CCMA)",Human Guarding,Akhensiwe T/a The Brave Security & Towing,"Contract extended to align with the the current lease extension & to allow SCM sufficient time to
follow the competitive bid process.","R 121 796,49","R 487 186,00",R -,2024/05/16,2024/06/01,2024/08/31,Reported
Number,"Period / Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
354,Q1 2024/25,2024/06/06,"Commission for Conciliation, Mediation and Arbitration
(CCMA)",Alarm Systems & Armed Response,Papa Mike Protection Services,"Contract extended to align with the the current lease extension & also due to the cost implications of
running a procurement process for auxiliary services required for a period of one (1) month, to
achieve economies of scale and also bidders often do not to respond.","R 1 035,00","R 30 969,50",R -,2024/05/16,2024/06/01,2024/06/30,Reported
355,Q1 2024/25,2024/06/06,"Commission for Conciliation, Mediation and Arbitration
(CCMA)",Human Guarding,No Turning Back Trading Enterprise,"Contract extended to align with the the current lease extension & to allow SCM sufficient time to
follow the competitive bid process.","R 76 245,00","R 184 181,36",R -,2024/05/17,2024/06/01,2024/08/31,Reported
356,Q1 2024/25,2024/06/06,"Commission for Conciliation, Mediation and Arbitration
(CCMA)",Hygiene Services,Bidvest Steiner,"Contract extended to align with the the current lease extension & also due to the cost implications of
running a procurement process for auxiliary services required for a period of one (1) month, to
achieve economies of scale and also bidders often do not to respond.","R 11 815,81","R 94 526,50",R -,2024/06/20,2024/06/01,2024/06/30,Reported
357,Q1 2024/25,2024/06/11,"Land and Agricultural Development Bank of South Africa
(Land Bank)",Extension of the lease agreement of Policy Administration System,Brolink,"Extension of time to allow for procurement, and subsequent system migration, data transfer and
effective transition into a fully integrated insurance system accommodating all lines of Life, Asset,
and Crop insurance business.","R 2 340 000,00","R 4 680 000,00",R -,2024/05/03,2024/06/01,2025/12/31,Reported
358,Q1 2024/25,2024/06/13,South African Revenue Service (SARS),National Management Forum Conference,Birchwood,"Additional budget needed for additional equipment & catering for the national management forum
conference","R 50 000,00","R 655 550,00",R -,2024/05/29,2024/06/10,2024/06/11,Reported
359,Q1 2024/25,2024/06/14,Statistics South Africa (Stats SA),"Security guard services at Gauteng, Sedibeng, Ekhuruleni and
West rand offices.",Gija Security Services and Projects,Conclusion of Bids not finalized,"R 264 529,05","R 8 029 565,28",R -,2024/05/30,2024/06/01,2024/11/30,Reported
