1625,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Labour Relations Training,8 Major League Business,"R 120 000,00",Single source - Continuation,2023/10/30,once-off,once-off,Reported
1626,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Flight ticket,Kimzel Travel,"R 45 671,00",Attend Conference (Reimbursement to organisers),2023/10/31,once-off,once-off,Reported
1627,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Atlas Licences (Research Project),Mosen Technologies,"R 35 686,56",Single source - Limited suppliers,2023/09/11,once-off,once-off,Reported
1628,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Grammarly Licence Subscription,Iqon Business Solutions,"R 21 160,00",Single source - Limited suppliers,2023/12/14,2024/01/01,2024/12/31,Reported
1629,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Research Journal Access,EBSCO International Inc,"R 202 730,29",Single source - Limited suppliers,2023/12/14,2024/01/01,2024/12/31,Reported
1630,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),Armed Response System,Bidvest Protea Coin,"R 75 644,70",Single source - Limited suppliers,2023/12/14,2024/01/01,2029/12/31,Reported
1631,Q4 2023/24,2024/01/11,,Quality Council for Trades and Occupations (QCTO),"Deviation to utilise the Emperors Palace for the meeting
between minister Blade Nzimande and Vice-Chancellors
of 26 universities",Gemini Moon Trading 7,"R 44 354,31","Emperors Palace is the most secured and safest venue to have
the meeting in order to minimise interruptions from students if
the meeting was to be held in one of the institutiosn and it is
more convenient venue to OR Tambo International Airport for
those travelling from neer and far",2024/01/08,2024/01/08,once-off,Reported
1632,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",YFM 2023 Road Show,YFM,"R 171 453,50",YFM Rand Show 2023,2023/03/29,Once-off,once-off,Reported
1633,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Study material for staff training: Portia Letsoalo,Van Schaik Bookstore,"R 3 116,15","After following the normal RFQ process, the awarded provider
failed to deliver. After several follow up calls and emails the
provider indicated that they can no longer provide the service.
The award was subsequently cancelled. Due to the time
elapsed and the staff member urgently requiring the study
material, SCM contacted providers on previously utilised for
similar services before, to enquire stock availability. SCM
appointed Van Schaik Bookstore on an emergency basis as
they indicated that they have the books in stock, and that
delivery can be made the same day.",2023/04/26,once-off,once-off,Reported
1634,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Manage Engine Endpoint Central UEM Edition,ITR Technology,"R 261 872,25",Manage Engine Endpoint Central UEM Edition 22 June 2023,2023/05/31,once-off,once-off,Reported
1635,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA","Renewal Manage Engine OPManager Professional
License",ITR Technology,"R 78 251,75","Renewal Manage Engine OPManager Proffessional License 22
June 2023",2023/05/31,once-off,once-off,Reported
1636,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Manage Engine Services Deskl Plus License,ITR Technology,"R 165 301,00",Manage Engine Service Desk Plus License 22 June 2023,2023/05/31,once-off,once-off,Reported
1637,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",AIDC and merSETA Meeting catering,Sizzling catering and events management,"R 4 600,00",AIDC and merSETA meeting catering,2023/06/29,once-off,once-off,Reported
1638,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",merSETA Career Bus advertising campaign,Capricon FM,"R 389 850,00",merSETA Career Bus Advertising Campaign,2023/06/30,once-off,once-off,Reported
1639,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",merSETA Career Bus Advertising Campaign,Makhado FM,"R 72 000,00",merSETA Career Bus Advertising Campaign,2023/06/30,once-off,once-off,Reported
1640,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",merSETA Career Bus advertising campaign,Vhembe FM,"R 94 500,00",merSETA Career Bus Advertising Campaign,2023/06/30,once-off,once-off,Reported
1641,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Venue Hire- BEC Meeting -NSDMS (13 July 2023),Anew Hotel Parktowm,"R 1 275,00",Venue Hire 14 July 2023,2023/07/13,once-off,once-off,Reported
1642,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Urgent appointment of Strategic Risk Facilitator,Ziko Business Solution,"R 172 500,00",Urgent appointment,2023/08/16,once-off,once-off,Reported
1643,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Venue Hire- BEC Meeting -NSDMS (13 July 2023),Basadzi Media and Personnel,"R 23 593,00",Urgent tender advert placement,2023/08/30,once-off,once-off,Reported
1644,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Appointment of ITR Technology,ITR Technology,"R 94 127,50",Appointment of ITR for AD360,2023/09/21,once-off,once-off,Reported
1645,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",SDF Catering,K- Line Foods,"R 26 312,00",SDF Catering,2023/09/26,once-off,once-off,Reported
1646,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Board Member Training,Institutte of Directors,"R 805,00",Board Member Training - Institute of Directors,2023/10/03,once-off,once-off,Reported
1647,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Urgent BEC meeting minute taker,Letitia Kelly ASS,"R 5 100,00",Urgent BEC meeting minute taker,2023/10/16,once-off,once-off,Reported
1648,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Manufacturing INDABA Conference and Exhibition,Manufacturing INDABA,"R 248 014,98",Exhibiting the merSETA in Manufacturing INDABA,2023/10/29,once-off,once-off,Reported
1649,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA","Appointment of a service provider for psychometric
assessment. Additional services",Evolva Consulting,"R 11 500,00","Appointment of a service provider for psychometric assessment
for the Supply Chain Manager.",2024/01/08,once-off,once-off,Reported
1650,Q4 2023/24,2024/01/16,,"Manufacturing, Engineering and Related Services
Sector Education and Training Authority
(merSETA)SETA",Security Risk Assessment,Alwinco CC,"R 111 660,58","Appointment of a service provider for a comprehensive security
risk assessment. An RFQ was activated 3 times and on the
final activation, 3 quotes were received, upon review all three
had not met specifications. SCM contacted providers from the
internet and the existing database who provided similar
services and Alwinco CC was appointed on emergency basis
as Alwinco CC confirmed they could render the service as it
was urgently required.",2024/01/10,2024/01/10,2024/03/31,Reported
1651,Q4 2023/24,2024/01/10,,"Wholesale and Retail Sector Education and Training
Authority (W&RSETA)SETA",Case Ware License Renewal,Case Ware,"R 107 650,70",Licence renewal-single source,2023/10/09,2023/10/09,2024/10/09,Reported
1652,Q4 2023/24,2024/01/15,,Ditsong: Museums of Africa,"To request for Council to approve a deviation from the
recruitment and placement policy for relocation costs of
the CEO.",The AT Group Stay & Regency,"R 21 600,00","The DMSA Chief Executive Officer was appointed as from 06
November 2023 and her relocation costs qualify to be borne by
Ditsong as per the clause 12 of the approved Recruitment and
Placement policy. it furher outline that relocation costs must
be capped at R10 000 for a months accommodation.",2023/11/14,2023/11/14,2023/11/30,Reported
1653,Q4 2023/24,2024/01/15,,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA","Renewal of ACCA Annual Professional Body
membership",Association of Chartered Certified Accountants (ACCA),"R 134,00","The ACCA is the SAQA registered professional body and this is
membership renewal",2023/12/13,once-off,once-off,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
1654,Q4 2023/24,2024/01/15,,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA","Provision of Corporate Governance and Board
Effectiveness, and Financial Insights for Non-Financial
Directors Programmes",The Institute of Directors in South Africa (IODSA),"R 102 561,00","The required training interventions are solely developed and
customised for the development of the IoDSA members",2023/12/18,once-off,once-off,Reported
1655,Q4 2023/24,2024/01/15,,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA","Renewal of SABPP Annual Professional Body
Membership",South African Board for Peoples Practices (SABPP),"R 6 930,00","The SABPP is the SAQA registered professional body and this
is membership renewal",2023/12/18,once-off,once-off,Reported
1656,Q4 2023/24,2024/01/15,,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Renewal of WISA Patron Annual Membership,The Water Institute of Southern Africa (WISA),"R 69 500,00","The Water Institute of Southern Africa is the SAQA registered
professional body for the water sector which unites individual
water professionals and organisations as members",2023/12/20,once-off,once-off,Reported
1657,Q4 2023/24,2024/01/15,,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA","Renewal of Annual Subscription fees for Caseware
software",Adapt IT,"R 111 207,16","Adapt IT is the sole distributor of CaseWare software being
used by EWSETA",2023/12/20,once-off,once-off,Reported
1658,Q4 2023/24,2024/01/15,,Performing Arts Centre of the Free State (PACOFS),Roof repairs,Moabelo Trading,"R 55 175,00",Emergency Procurement,2023/12/11,2023/12/11,2023/12/31,Reported
1659,Q4 2023/24,2024/01/15,,Performing Arts Centre of the Free State (PACOFS),Financial Systems Licence Renewal,Acc Tech Central,"R 250 937,28",Existing contract,2023/11/30,2023/12/01,2025/11/30,Reported
1660,Q4 2023/24,2024/01/24,,South African Police Service (SAPS),"Online subcription LexisNexi, Jutastat and Sabinet
closed bid: Division :Technology Management",LexisNexis,"R 15 625 980,00",Deviation,2023/10/12,2023/09/27,2026/10/05,Reported
1661,Q4 2023/24,2024/01/24,,South African Police Service (SAPS),"Online subcription Lexis Nexi, Jutastat and Sabinet
closed bid: Division :Technology Management",Sabinet,"R 7 518 714,81",Deviation,2023/10/12,2023/09/27,2026/10/05,Reported
1662,Q4 2023/24,2024/01/24,,South African Police Service (SAPS),"Online subcription Lexis Nexi, Jutastat and Sabinet
closed bid: Division :Technology Management",Jutastat,"R 19 127 369,04",Deviation,2023/12/20,2023/12/06,2023/12/11,Reported
1663,Q4 2023/24,2024/01/25,,"Insurance Sector Education and Training Authority
(Inseta)SETA",EISA Exams,South Cape TVET College,"R 20 000,00","Request For Approval To Use Other Means Of Procurement
(Limited Bidding – Single Source) To Appoint QCTO
Accredited Assessment Centres For EISA Exams.",2024/01/18,Once off,Once off,Reported
1664,Q4 2023/24,2024/01/25,,"Insurance Sector Education and Training Authority
(Inseta)SETA",EISA Exams,Letaba TVET College (George),"R 20 000,00","Request For Approval To Use Other Means Of Procurement
(Limited Bidding – Single Source) To Appoint QCTO
Accredited Assessment Centres For EISA Exams.",2024/01/18,Once off,Once off,Reported
1665,Q4 2023/24,2024/01/25,,"Insurance Sector Education and Training Authority
(Inseta)SETA",EISA Exams,SA Campus (Bloemfontein),"R 11 500,00","Request For Approval To Use Other Means Of Procurement
(Limited Bidding – Single Source) To Appoint QCTO
Accredited Assessment Centres For EISA Exams.",2024/01/18,Once off,Once off,Reported
1666,Q4 2023/24,2024/01/25,,"Insurance Sector Education and Training Authority
(Inseta)SETA",EISA Exams,East Cape Midlands,"R 20 000,00","Request For Approval To Use Other Means Of Procurement
(Limited Bidding – Single Source) To Appoint QCTO
Accredited Assessment Centres For EISA Exams.",2024/01/18,Once off,Once off,Reported
1667,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"The supply and delivery of SimFLEX+ Driving Simulator
powered by SCANeR for CSIR Transport System
Operations",AV Simulation SAS,"R 3 782 383,89",Sole Supplier,2023/12/07,2023/12/07,2023/12/07,Reported
1668,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Wireless E-stop, safe remote control, starter kit, Vehicle
safety Controller and guardian",Fort Robotics Inc,"R 241 454,11",Sole Supplier,2023/12/06,2023/12/06,2023/12/06,Reported
1669,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Procurement of a torsion vibration damper for a Deutz
F6L912 engine number 6373967",Hudaco Trading Pty Ltd,"R 112 087,05",Sole Supplier,2023/12/01,2023/12/01,2023/12/01,Reported
1670,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Honeycomb HIVE Scout single cell RNA sequencing kit
for the generation of single cell RNA",Celtic Molecular Diagnostics Pty Ltd,"R 225 708,20",Sole supplier,2023/11/03,2023/11/03,2023/11/03,Reported
1671,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Science Direct - Subscription Renewal (2024),Elsevier B.V,"R 2 750 273,51",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1672,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"NVIDIA DRIVE AGX Developer Kit which includes
hardware and software modules",Arrow Altech Distribution Pty Ltd,"R 192 907,06",Sole supplier,2024/01/17,2024/01/17,2024/01/17,Reported
1673,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Shear modulus testing of frictional rubber bearings,Nuvia Structure,"R 1 396 740,00",Sole supplier,2023/12/08,2023/12/08,2023/12/08,Reported
1674,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"The supply of RF SHIELDED TEST ENCLOSURE to the
CSIR",Ramsey Electronic LLC,"R 87 836,90",Sole supplier,2023/12/06,2023/12/06,2023/12/06,Reported
1675,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"OPNsense Business Support Renewal (VPN Support
Subscription)",Deciso Sales B.V.,"R 432 569,25",Sole supplier,2023/11/30,2023/11/30,2023/11/30,Reported
1676,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Packet Fence Software annual renewal,Akamai Technologies Canada Inc,"R 278 109,00",Sole supplier,2023/11/08,2023/11/08,2024/11/07,Reported
1677,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),ATCC-SCRC-1040 MEF (CF-1),Industrial Analytical Pty Ltd,"R 48 965,85",Sole supplier,2023/11/09,2023/11/09,2023/11/09,Reported
1678,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Specialized combat blast gauge system (9 gauges with
USB communication hub)","Blackbox Biometrics, Inc.","R 100 128,35",Sole supplier,2023/11/29,2023/11/29,2023/11/29,Reported
1679,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Repair of a Hüber thermoregulator after pump failure,Monitoring and Control Laboratory Pty Ltd,"R 44 732,70",Sole supplier,2023/12/05,2023/12/05,2023/12/05,Reported
1680,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Software upgrade of existing Ceast Capillary Rheometer.
Training of new software package included.",ADI Scientific Pty Ltd,"R 306 848,63",Sole supplier,2023/11/29,2023/11/29,2023/11/29,Reported
1681,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Renewal of WAsP license for 3 years,Technical University of Denmark,"R 39 327,93",Sole supplier,2024/01/03,2024/01/03,2024/01/03,Reported
1682,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Sunifact Additive power bed software licenses,Simteq Engineering Pty Ltd,"R 134 626,00",sole supplier,2023/12/08,2023/12/08,2024/12/07,Reported
1683,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Detonics and TNT Flakes -explosives,Rheinmetall Denel Munition Pty Ltd,"R 596 850,00",Sole supplier,2023/12/01,2023/12/01,2023/12/01,Reported
1684,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Annual License and software support for Rendezvous,NFS Technology Group Pty Ltd,"R 64 194,46",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1685,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"The supply of an additional vessel for Smart Mobility
Simflex simulator software",Force Technology,"R 106 819,02",Sole supplier,2023/11/30,2023/11/30,2023/11/30,Reported
1686,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),The provision of Altium Designer licences,Altium Europe GmbH,"R 125 312,55",Sole supplier,2023/12/14,2023/12/14,2024/12/13,Reported
1687,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Altium Designer Commercial Subscription Renewal,Altium Europe GmbH,"R 81 500,00",Sole supplier,2023/11/30,2023/11/30,2024/11/29,Reported
1688,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Procurement of Billboard Space for 3 months,Sticky Bird Pty Ltd,"R 70 725,00",Sole supplier,2023/12/08,2024/01/01,2024/03/30,Reported
1689,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Procurement of Billboard Space for 3 months,Insight Outdoor Advertising,"R 93 150,00",Sole supplier,2023/12/13,2024/01/01,2024/03/30,Reported
1690,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"The supply of Datawell battery rc27b non-hazardous and
related parts and spares to the CSIR",Datawell BV,"R 378 655,00",Sole supplier,2023/12/08,2023/12/08,2023/12/08,Reported
1691,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Credit Card: Audio Recorder,Parinto Pty Ltd,"R 94 111,52",Sole supplier,2023/12/01,2023/12/01,2023/12/01,Reported
1692,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Renewal of the Springer Transformative Agreement
subscription for 2024",Springer Nature limited,"R 244 749,90",Sole supplier,2023/12/04,2024/01/01,2024/06/30,Reported
1693,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Oracle Database - Enterprise Edition Modules
(Agreement: P-04-12049-000-24)",Oracle Corporation SA,"R 5 488 784,08",Sole supplier,2023/12/01,2023/12/01,2024/11/30,Reported
1694,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Microsoft,Microsft SA,"R 2 368 758,42",Sole supplier,2023/12/11,2023/12/16,2024/12/15,Reported
1695,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Renewal of ACM Annual Subscription for 2024,Worldwide Information Services Pty Ltd,"R 135 378,00",Sole supplier,2023/12/05,2023/12/05,2023/12/05,Reported
1696,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Renewal of the Wiley subscription for 2024,Wiley,"R 602 867,73",Sole supplier,2023/12/20,2023/12/20,2024/12/19,Reported
1697,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Unattended Ground Sensor System,Vodacom Pty Ltd,"R 699 630,08",Sole supplier,2023/12/08,2023/12/08,2023/12/08,Reported
1698,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Survivability assessment pressure transducer (8515-
C50)",TANDM Technologies Pty Ltd,"R 96 260,75",Sole supplier,2024/01/09,2024/01/09,2024/01/09,Reported
1699,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),LabSpec 6- MVA Plus,Wirsam Scientific and Precision Equipment Pty Ltd,"R 50 827,70",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1700,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Abaqus Unified FEA annual license,Finite Element Analysis Services Pty Ltd,"R 304 750,08",Sole supplier,2023/12/05,2023/12/05,2024/12/04,Reported
1701,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Vacuum pump,Lasec SA Pty Ltd,"R 91 954,00",Sole supplier,2024/01/16,2024/01/16,2024/01/16,Reported
1702,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Accredidation BBBEE,South African National Accreditation System (SANAS),"R 47 541,00",Sole supplier,2023/12/18,2023/12/18,2023/12/18,Reported
1703,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Mitos Flow Rate Sensor (flow measurement units),Unchained Labs Royston Ltd,"R 62 123,62",Sole supplier,2024/01/17,2024/01/17,2024/01/17,Reported
1704,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Procurement of Gas detector,Drager South Africa Pty Ltd,"R 175 054,15",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1705,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Digital Tactical Swim Board,"Northern Diver (International) LTD, UK","R 39 982,00",Sole Supplier,2024/01/09,2024/01/09,2024/01/09,Reported
1706,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"MATLAB 3-month Institute-Wide License Renewal
(31652745)",Opti-num Solutions Pty Ltd,"R 1 124 808,10",Sole Supplier,2023/12/12,2023/12/12,2023/12/12,Reported
1707,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"SPIE Digital Library Institutional Subscription for term: 1
January 2024 to 31 December 2024",SPIE,"R 96 143,42",Sole supplier,2024/01/09,2024/01/09,2025/01/08,Reported
1708,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Renewal of the RefWorks Institutional subscription for
2024",ProQuest LLC,"R 221 280,32",Sole supplier,2023/12/13,2023/12/13,2024/12/12,Reported
,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT DEVIATIONS,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)","Status
(Use dropdown List)"
1709,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"The repairs for the data center’s critical cooling
equipment.",Service First Cape Pty Ltd,"R 39 152,90",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1710,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Sole Supplier - X formation renewal for GSDI, exp date
11 December 2023 Amount: 1,830.00 Euro",X-Formation,"R 37 626,99",Sole supplier,2023/12/13,2023/12/13,2023/12/13,Reported
1711,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Repairs and Factory Calibration of Scanivalve ZOC33
Module (miniature pressure scanning instrument)",Scanivalve Corp,"R 44 923,16",Sole supplier,2023/12/18,2023/12/18,2023/12/18,Reported
1712,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"Renewal of the Sabinet Customised Monitoring Service
subscription for 2024",SABINET Online Ltd,"R 242 172,11",Sole supplier,2023/12/19,2023/12/19,2023/12/19,Reported
1713,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Renewal of the Sabinet services subscription for 2024,SABINET Online Ltd,"R 820 291,41",Sole supplier,2024/01/16,2024/01/16,2024/01/16,Reported
1714,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Renewal of the LibKey subscription for 2024,Bz Disc Inc,"R 67 461,35",Sole supplier,2023/12/14,2023/12/14,2023/12/14,Reported
1715,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),"DTA software (Meavy upgrade), DTA accessories
(DTA552-PH-6, DTA552-PH-4, DTA552-STCP, DTA552-
GTT, DTA552-GC)",OZM Research S.R.O,"R 71 743,71",Sole supplier,2023/12/19,2023/12/19,2023/12/19,Reported
1716,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),SBV Formula PUDU Chemical Foam,REAC Polyurethane Technologies Pty Ltd,"R 525 835,20",Sole supplier,2024/01/18,2024/01/18,2024/01/18,Reported
1717,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Solarwinds license renewal,SolarWinds Software Europe Ltd,"R 581 139,15",Sole supplier,2024/01/17,2024/01/17,2024/01/17,Reported
1718,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Mecad Systems,SolidWorks Mechanical CAD Software License for 2024,"R 79 695,00",Single source,2023/12/13,2024/01/31,2025/01/30,Reported
1719,Q4 2023/24,2024/01/24,,Council for Scientific and Industrial Research (CSIR),Fullstream business service Pty Ltd,"KnownBe4 security Awareness subscription renewal and support for a
period of 12 months","R 393 025,28",Single source,2024/01/16,2024/01/16,2025/01/15,Reported
1720,Q4 2023/24,2024/01/10,,"Department of Public Works and Infrastructure
(DPWI)","Provision of security gaurding services in state houses,
land vacant offices & construction within the jurisdiction
of PE Regional Office for a period of Four (4) Months",Capital Ship Trading 605,"R 5 189 763,10","To Safeguard State Premises and Officials at DPWI Offices
situated in Gqeberha- Eastern Cape. The running Term
Contract expired and replacement contract could not be
finalised as the tender was cancelled.",2023/12/08,2023/12/09,2024/04/08,Reported
1721,Q4 2023/24,2024/01/08,,"South African Broadcasting Corporation SOC Limited
(SABC)","The provision of peromnes methods job evaluation
training",Deloitte Consulting Pty Ltd,"R 300 000,00",Single Source,2023/11/14,2023/11/14,2024/09/30,Reported
1722,Q4 2023/24,2024/01/08,,"South African Broadcasting Corporation SOC Limited
(SABC)","The building of M & E tracks and transcriptions for the
Uzalo Series 7 programme (260 episodes)",Stained Glass Facilities Pty Ltd,"R 104 650,00",Sole provider,2023/11/21,Once Off,Once Off,Reported
1723,Q4 2023/24,2024/01/08,,"South African Broadcasting Corporation SOC Limited
(SABC)","The purchase 2023 Radio Awards Gala Dinner
ceremony tickets",Arena Holdings Pty Ltd,"R 59 742,50",Sole provider,2023/11/21,Once Off,Once Off,Reported
1724,Q4 2023/24,2024/01/08,,"South African Broadcasting Corporation SOC Limited
(SABC)","The Elections and Social Media Analysis, for the 2024
General Elections and 2026 Local Government Elections",Council for Scientific and Industrial Research (CSIR),"R 800 000,00",Sole provider,2023/11/29,Once Off,Once Off,Reported
1725,Q4 2023/24,2024/01/08,,"South African Broadcasting Corporation SOC Limited
(SABC)",Support and Mantainance,Otis (Pty) Ltd,"R 328 281,75",Single Source,2023/12/06,2024/01/01,2028/12/31,Reported
1726,Q4 2023/24,2024/01/11,,South African National Space Agency (SANSA),Altium License,Altium Europe GmbH+D24,"R 79 396,93","The Engineering and Data Acquisition unit at SANSA
Hermanus make use of Altium Designer software for the design
and lay out of printer circuit board. Altium is the sole provider of
this license",2023/11/22,2023/11/22,2024/10/30,Reported
1727,Q4 2023/24,2024/01/18,,South African National Space Agency (SANSA),ACB (antenna control board) repair,Communication and Power Industries (CPI),"R 28 180,50","CPI is the only company that can repair the unit as they are the
original manufacture of this equipment",2023/12/13,2024/01/15,Once Off,Reported
1728,Q4 2023/24,2024/01/31,,Civilian Secretariat for Police Service (CSPS),"Supply, installation & Commissioning of a security
access & CCTV Cameras",Fedelity ADT & Technical,"R 84 521,00","Supplier installed the department security system including
maintenance of equipement for 12 months by appointing the
current service provider additional charges on software
upgrades can be curbed.",2023/09/01,Once Off,Once Off,Reported
