,,,3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 4 REPORT EXPANSIONS,,,,,,,,,,,
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)",,"Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
EXPANSIONS REPORT,,,,,,,,,,,,,,
1,Q4 2023/24,2023/12/18,,National Arts Council of South Africa (NAC),PABX Support and Maintenance,Rivoni Matimba,"Due to a delay in the porting of numbers from the previous to the current service provider, it is
hereby requested that the PABX service and support to be extended by an additional two (02)
months period to allow for the telephone number porting process to be concluded as well as a
smooth transition from the current to the new service provider.","R 26 187,18","R 380 918,00","R 57 305,91",2023/12/11,2023/12/12,2024/01/31,Reported
2,Q4 2023/24,2024/01/15,,National Development Agency (NDA),"Conduct psychometric assessments for candidates who applied for
CEO position",Mogoma Research and Development,"The initial purchase order issued covered only two candidates but the Board resolved that the
top three candidates must go through the psychometric assessments.","R 13 116,40","R 48 258,60",R-,2023/12/21,2024/01/03,2024/03/31,Reported
3,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Cleaning Services,OKS Investments 2009,New tender process to appoint service provider not yet concluded,"R 318 780,00","R 2 902 518,00","R 85 733,10",2023/11/27,2024/01/01,2024/03/31,Reported
4,Q4 2023/24,2024/01/10,,Legal Aid South Africa,National Office Security Services,Lettie Top Security,New tender process to appoint service provider not yet concluded,"R 372 471,36","R 3 737 009,50","R 1 228 208,32",2023/11/30,2024/01/01,2024/03/31,Reported
5,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Eastern Cape Provincial Office - Security Contract,Atlas Security,Alignment to lease period ending 31 March 2024,"R 5 078,34","R 26 481,12",R-,2023/11/20,2023/12/01,2024/03/31,Reported
6,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Cleaning Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 24 589,60","R 24 589,60",R-,2023/11/27,2023/12/01,2024/05/31,Reported
7,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Elliot Hygiene Services,Executive Cleaning & Hygiene,"RFQ process non-responsive, new process will be undertaken","R 3 300,00","R 3 300,00",R-,2023/11/27,2023/12/01,2024/05/31,Reported
8,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Vryheid Local Office (Lease of office accomodation),Hester Davel,New tender process to appoint service provider not yet concluded,"R 320 157,42","R 2 556 602,98","R 320 157,42",2023/11/24,2024/01/01,2024/06/30,Reported
9,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Graaff-Reinet Local Office (Lease of office accomodation),Karl Benjamin Putter t/a Radium Cleaners,New tender process to appoint service provider not yet concluded,"R 160 390,68","R 1 364 116,68",R-,2023/11/24,2024/01/01,2024/06/30,Reported
10,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Ladybrand Satellite Office (Lease of office accomodation),Oos Vrystaat Kaap,New tender process to appoint service provider not yet concluded,"R 70 472,64","R 376 930,31","R 67 116,78",2023/11/24,2024/01/01,2024/06/30,Reported
11,Q4 2023/24,2024/01/10,,Legal Aid South Africa,"Makhanda (Grahamstown) Local Office (Lease of office
accomodation)",Karoovlakte Trust,New tender process to appoint service provider not yet concluded,"R 597 897,60","R 5 339 352,00",R-,2023/11/24,2024/02/01,2024/07/31,Reported
12,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Modimolle Local Office (Lease of office accomodation),Nyl Sakesentrum (Pty) Ltd,New tender process to appoint service provider not yet concluded,"R 116 616,36","R 2 080 406,99","R 233 232,72",2023/11/24,2024/01/01,2024/03/31,Reported
13,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Mokopane Satellite Office (Lease of office accomodation),Rayveen CC,"RFQ process non-responsive, new process will be undertaken","R 130 430,04","R 1 164 767,72",R-,2023/11/24,2024/01/01,2024/06/30,Reported
14,Q4 2023/24,2024/01/10,,Legal Aid South Africa,Secunda Satellite Office (Lease of office accomodation),Dipula Property Investments Trust,"RFQ process non-responsive, new process will be undertaken","R 133 572,96","R 1 173 835,33","R 133 572,96",2023/11/24,2024/01/01,2024/06/30,Reported
218,Q4 2023/24,2024/02/01,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA","Additional payment to cover the expenses incured for the venue and
catering for the RPL training.",RH Hotel,"The venue was booked for 50 candidates. On thee first day of training 14 extra candidates who
claimed to have confirmed their attendance arrived","R 30 615,00","R 126 140,00",R-,2023/07/08,2023/08/14,2023/08/18,Reported
219,Q4 2023/24,2024/02/01,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Catering for the Healthcare Quality project launch,Turnup Society,The order was issued for 60 people and on the day of the event 100 people were in attendance,"R 18 742,50","R 101 745,00",R-,2023/08/23,2023/08/25,2023/08/25,Reported
220,Q4 2023/24,2024/02/01,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA","Additional payment to cover the expenses incured for the venue and
catering for the RPL graduation ceremony in Free State Province",President Hotel,"The procurement process was followed. When the end user went to the venue the day before to
check the state of rediness, they discovered that there was a miscommunication between the
agency and the venue, they had a different understanding, and the venue was not arranged
according to the specifications.","R 33 462,89","R 68 701,78",R-,2023/12/09,2023/12/09,2023/12/09,Reported
221,Q4 2023/24,2024/02/01,"Health and Welfare Sector Education and Training
Authority (HWSETA)SETA",Extension of scope for end of year shopping vouchers,Pick and Pay,"The order for shopping vourchers was issued to Pick and Pay. Additional vouchers were
required for the 24 learners that provide a service to th HWSETA through Wits Health
Consrtium.The extention of scope is within the 15% maximum of R111 878.25","R 48 000,00","R 745 855,00",R-,2023/08/12,2023/08/12,2023/08/12,Reported
222,Q4 2023/24,2024/02/13,Council for Scientific and Industrial Research (CSIR),"The Provision of Seasonal Casual Labour/Temporary Staffing
Solutions to the CSIR International Convention Centre (ICC).",SD Recruitment (Pty) Ltd,"Increase further the budget by an additional of R1 000 000.00 (VAT inclusive) in order to avoid
business interruptions to the ICC and allow for the conclusion of new contract. The PO will not
be issued for the full variation amount of R 1 000 000 to cater for earlier contract conclusions
with Beta Staff. Furthermore, these are adhoc services, depending on the ICC events.","R 1 000 000,00","R 1 500 000,00","R 4 000 000,00",2024/01/30,2024/03/01,2026/02/14,Reported
223,Q4 2023/24,2024/02/13,"Department of Environment, Forestry and Fisheries
(DEFF)","Provide Quality Assurance And Governance Support Within Bid
Administration Processes For a Period of Six Months",Ubuntu Business Advisory & Consulting (Pty) Ltd,Continuation of work,"R 3 620 229,62","R 24 162 144,00","R 67 439,06",2022/03/01,2022/03/08,2024/09/02,Reported
224,Q4 2023/24,2024/02/19,Council for the Built Environment (CBE),"Support and maintenance of the Knowledge Management and
Unemployment System (KMUP)",Dark Matter Consultants (Pty) Ltd,"The Minister of Public Works and Infrastructure publicly committed the CBE to the fast tracked
implementation of the KMUP system in December 2023 and publicly advertised the launch of
the system. The single use of the service provider for the practical functionality of the system is
recommended and will minimise the costs. If a new service provider is appointed they will only","R 173 000,00","R 427 000,00",R-,2024/02/16,2024/02/16,2024/12/31,Reported
225,Q4 2023/24,2024/02/23,"Agricultural Sector Education and Training Authority
(AgriSETA)SETA",Media and Monitoring Services,Ponelelo Media Monitoring,"design for enhancement and the system support and maintenance will still be the responsibility
Contract amount varied with 15% and contract extended with further 3 months","R 25 839,48","R 302 343,48",R-,2024/02/06,2024/02/09,2024/05/09,Reported
226,Q4 2023/24,2024/02/27,Transport Education Training Authority (TETA)SETA,"To deilver Strategic International Leadership Development (SILDP)
Programme for TETA board aligned to NQF levels 5 to 9 for 19
candidates for a period not exceeding 2 years","Gordon Institute of Business Science: Division of the
University of Pretoria","Flights for Board members changes from economy to buisness class in terms of TETA travel
management policy dates 1st September 2022, and also an increase in the dollae to rand
exchange rate.","R 1 048 083,00","R 6 987 026,00",R-,2023/06/15,2023/08/31,2024/12/31,Reported
227,Q4 2023/24,2024/02/29,Human Sciences Research Council (HSRC),"Electrical infrastructure maintenance Services to replace earth
conductors.",ECN Electrical & Conditioning,"Expansion in the scope of work for electrical infrastructure maintenance Services to replace
earth conductors","R 189 933,24","R 300 000,00",R-,2024/02/22,2024/02/26,2026/04/30,Reported
228,Q4 2023/24,2024/02/29,Human Sciences Research Council (HSRC),"To upgrade LibApps platform is an affordable, easy-to-use solution to
build a robust platform that allows users to access content developed
by eRKC staff.",Springshare,Extension to upgrade services (LibApps platform),"R 40 080,09","R 237 160,29",R-,2024/02/22,2024/03/01,2024/03/31,Reported
229,Q4 2023/24,2024/02/29,Human Sciences Research Council (HSRC),To revamp the HSRC publishing website,Joren Communications,Increase in the scope of work for website maintenance and domain hosting,"R 316 250,00","R 182 666,00",R-,2024/02/22,2024/02/26,2025/06/30,Reported
230,Q4 2023/24,2024/02/19,National Arts Council of South Africa (NAC),Additional Catering at NAC Offices,Underwraps Caterers,"Under wraps caterers were appointed to provide catering services for the signing of the MOU
between the NAC and HKADC. The initial Request for Quote (RFQ) was for fifteen (15) people,
and it was decided that whole NAC staff of Fifty (50) to be present to witness the signing of the","R 7 839,02","R 3 359,01",R-,2024/01/31,2024/02/02,2024/02/02,Reported
231,Q4 2023/24,2024/03/07,"Finance and Accounting Services Sector Education and
Training Authority (Fasset)SETA",Provincial Offices Renovations,Vhaleya Suppliers (Pty) Ltd,High Security Gate,"R 17 500,00","R 498 373,70",R-,2024/01/12,once-off,once-off,Reported
232,Q4 2023/24,2024/03/07,"Finance and Accounting Services Sector Education and
Training Authority (Fasset)SETA",Provincial Offices Renovations,Vhaleya Suppliers (Pty) Ltd,Replacement of damaged door; repairing of cracked wall; fixing damaged and fallen signage,"R 23 970,00","R 498 373,70","R 17 500,00",2024/01/12,once-off,once-off,Reported
233,Q4 2023/24,2024/03/07,"Finance and Accounting Services Sector Education and
Training Authority (Fasset)SETA",Office Space,OFM Property Management (Pty) Ltd,A further extension of 13 months from March 2024 to April 2025,"R 4 392 815,88","R 15 767 588,11","R 3 934 048,05",2024/02/28,2024/02/28,2025/03/31,Reported
234,Q4 2023/24,2024/03/07,"Finance and Accounting Services Sector Education and
Training Authority (Fasset)SETA",Investigation Services,Ngwazi Consulting,Additional work,"R 640 750,00","R 801 665,00",R-,2023/11/27,once-off,once-off,Reported
235,Q4 2023/24,2024/03/15,South African Heritage Resources Agency (SAHRA),Legal Fees - Mandela Heritage Objects Litigation,Bowman Gilfillan,The case went for an appeal and also needed senior councel,"R 3 000 000,00","R 2 000 000,00",R -,2024/02/22,2024/02/22,2024/05/06,Reported
236,Q4 2023/24,2024/03/07,Human Sciences Research Council (HSRC),"To streamline the processes around the management and payment of
Article Processing Charges on behalf of HSRC researchers",World Wide Information Services (WWIS),"Expansion in the scope of work to streamline the processes around the management and
payment of Article Processing Charges on behalf of HSRC.","R 3 000 000,00","R 4 884 080,00",R-,2024/02/26,2024/02/26,2025/09/23,Reported
237,Q4 2023/24,2024/03/15,"Local Government Sector Education and Training
Authority (LGSETA)SETA","Request for the appointed service provider to include hosting and
scope creep to the existing project",MNP INC Chartered Accountants,"To increase the scope of work and vary the contract by changing the scope of work and
extension of time","R 2 402 253,50","R 15 935 496,00",R-,2024/02/13,2024/02/16,2025/10/31,Reported
238,Q4 2023/24,2024/03/15,"Local Government Sector Education and Training
Authority (LGSETA)SETA",Request for the expansion of scope of work bid InfraWAN,Vox Telecommunications,To increase the scope of work and vary the contract by changing the scope of work,"R 128 194,56","R 6 733 683,60","R 44 297,47",2024/02/13,2024/03/01,2025/09/30,Reported
239,Q4 2023/24,2024/03/15,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA","Appointment of an Internal Audit Services provider for a period of
three(3) years",Thabi Consulting,"Additional funds for adhoc activities to ensure Thabi Consulting covers all planned audits and
adhoc audits and other consulting as and when requested by executive management and those
charged with governance","R 1 558 746,39","R 5 033 400,00","R 755 010,00",2024/02/08,2024/02/28,2024/03/31,Reported
240,Q4 2023/24,2023/12/18,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request for approval from the Chief Executive Officer for financial
adjustments to Microsoft Azure Services and scope CIBECS cloRudeq-tuoe-
cloud backups in the ICT Licenses",st for approval fromG thraen Cdhwieelfl EPxtye cLutdtive Officer for finan,cial adjustments to Microsoft Azure Services and scope CIBECS cloud to cloud backups in the IC,"T RLi c e n s e s c o n t r a1c 9t 2b1e t9w1e0e,4n8 IN","S RE T A a n d G r5a n1d5w5 e7l5l 6P,T6Y6","L TRD . 774 228,51",2023/12/14,2024/01/01,2025/03/07,Reported
241,Q4 2023/24,2024/01/05,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA","Probity checks: merSETA current & former employees, as well as AA
members and related parties",Nexus Forensic Investigations,"Expansion of scope: merSETA appointed services of a forensic investigation firm, Nexus, to
assist with conducting probity checks on multiple individuals who have served or continue to
serve on the merSETA Accounting Authority. The scope of work included that the provider cast
a wider check, by including merSETA current and former employees identified through an
Auditor General testing exercise on disclosure of interest and subsequent conflict of interest.
The initial total number of individuals subjected to a probity check were 16. The auditor’s
finding necessitated that an additional 6 individuals be included in the current scope of work","R 42 908,51","R 478 374,77",R-,2023/10/10,2023/10/10,2024/06/30,Reported
242,Q4 2023/24,2023/12/18,"Insurance Sector Education and Training Authority
(Inseta)SETA","Request to conduct system assessment, stabilization, and
improvement services (as and when required)",Strategic Dimension,"INSETA would like to include support to the MIS systerm which is a new element in the
contract.","R 275 310,00","R 977 500,00",R-,2023/11/24,2023/12/01,2024/03/31,Reported
243,Q4 2023/24,2024/01/11,Quality Council for Trades and Occupations (QCTO),"Maintenance and Enhancement of the CV's and apprentice
certification system",iSolve Business Solutions,Extension of existing contract,"R 112 412,50","R 750 720,00",R-,2023/10/13,2023/01/12,2024/06/30,Reported
244,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Mpumalanga Regional Office Lease,De Bruyn Commercial Property Brokers,"During 2019, the merSETA embarked on a procurement process for corporate office
accommodation for all the merSETA offices which included the Head Office in Johannesburg
(Melville), plus 5 (five) regional (provincial) offices, as all these lease agreements were expiring
on 31 March 2020. All procurement process were adversely impacted by the global COVID-19
pandemic which resulted in merSETA requesting several interim extensions duly approved by
the National Treasury, between 01 April 2020 and 31 March 2022. During the abovementioned
interim approved extensions, the merSETA invited bids for leasing of office accommodation by
issuing several open tender advertisements, as well as the limited bidding process. The most
recent office accommodation tender process for the Mpumalanga office has once again failed.","R 255 453,63","R 1 449 315,96","R 4 534 505,20",2023/11/01,2023/11/01,2024/01/31,Reported
Number,Period / Quarter (Use dropdown List),"Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,Reason for Expansion,"Value of Contract
Expansion
[R]","Original Contract Value
[R]","Value of Previous
Expansion
[R]","Award by AO/ AA date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)","Contract expiry date
(yyyy/mm/dd)","Status
(Use dropdown List)"
245,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Internal Audit Services,Shumba Inc.,"The merSETA entered into a Service Level Agreement with Shumba Inc from the 01st
September 2020 to 31st August 2023 for Internal Audit services and any ancillary services
thereto. The initial contract value is R1 477 516.13.The merSETA launched an investigation into
allegations of serious misconduct made against two (2) merSETA senior employees.
Subsequently the Accounting Authority and Audit and Risk committees requested Shumba Inc
to conduct a determination test to understand the extent of the irregular expenditure incurred by
merSETA. Shumba Inc were then asked to provide a methodology in relation to the service to
be rendered. The current contract value is sitting at R1 545 556.13 which includes the first
variation amount of R68 040.00. The request for the second variation which includes the
additional work required by the Accounting Authority and Audit and Risk Committee and totals
to an amount of R 263 941,16. This request for variation will bring the total contract value to
amount of R 1 809 497,29 (17%), which exceeds 15% of the total contract value. Contract
extended with 3 months from 01 September 2023 to 30 November 2023 with an additional
amount of R206 288,29 while the procurement process for internal audit services is underway.
Contract extended further with additional 3 Months from 01 December 2021 to 31 January 2024
without additional cost implications","R 541 048,78","R 1 477 516,13","R 206 288,29",2023/09/01,2023/09/01,2023/11/30,Reported
246,Q4 2023/24,2024/01/16,"Manufacturing, Engineering and Related Services Sector
Education and Training Authority (merSETA)SETA",Rental of 15 Laptops,Govtek,"Extended for 2 Months while procurement process is underway from 01 November 2023 to 31
December 2023.","R 124 637,40","R 343 586,36",R-,2023/11/01,2023/11/01,2023/12/31,Reported
247,Q4 2023/24,2024/01/15,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA",Provision of physical security services for a period of a month,Mphosha Security Services,To allow for the completion of the new procurement,"R 169 576,61","R 5 724 590,47",R-,2023/10/31,2023/11/01,2023/11/30,Reported
248,Q4 2023/24,2024/01/15,"Safety and Security Sector Education and Training
Authority (SASSETA)SETA","Contract period and the extraction of date costs for the provision and
implementation of the integrated management information system",Solugrowth(Pty) Ltd,To allow for the transitioning process between the old service provider and the new,"R 2 260 531,39","R 8 047 975,76","R 12 323 250,28",2023/11/06,2024/01/01,2024/07/31,Reported
249,Q4 2023/24,2024/01/15,Road Traffic Infringement Agency (RTIA),Legal Opinion-Rationalisation,MNS,Difficult to monitor progress on litigation cases,"R 314 985,00","R 500 000,00","R 924 000,00",2023/12/14,2023/12/14,2023/12/14,Reported
250,Q4 2023/24,2024/01/15,Road Traffic Infringement Agency (RTIA),Extension of the travel contract,XL Nexus,"Participation request from the shareholder as they have not concluded the procurement
process","R 861,89","R 861,89","R 861,89",2023/12/23,2024/01/01,2024/06/30,Reported
251,Q4 2023/24,2024/01/12,Office of the Valuer General (OVG),Provision of ICT Support Services,Datacentrix (Pty) Ltd,Recruitment process to be completed,"R 258 156,69","R 6 990 981,21","R 556 059,43",2023/12/19,2024/01/01,2024/02/29,Reported
252,Q4 2023/24,2024/01/12,Office of the Valuer General (OVG),"Supply, Configure, Deploy, Train and Commission an Off-the-shelf
Enterprise Resource Planning (ERP)",OS Holdings (Pty) Ltd,To allow procurement process to be completed,"R 400 000,00","R 769 731,70",R-,2023/12/19,2024/01/19,2024/03/19,Reported
253,Q4 2023/24,2024/01/12,Office of the Valuer General (OVG),"Supply, Install, Configure and Maintain an Internet Connectivity
Services","EOH Network Solutions, a division of EOH Mthombo",Bandwidth increase,"R 85 641,84","R 932 882,98","R 246 019,00",2023/12/19,2024/01/01,2024/06/30,Reported
254,Q4 2023/24,2024/01/15,"Department of Planning, Monitoring and Evaluation
(DPME)",Maintenance of UPS,AE Soft,repair ot un-interupted power supply,"R 112 794,30","R 39 830,25",R-,2023/12/15,Not stated,Not stated,Reported
255,Q4 2023/24,2024/01/15,"Department of Planning, Monitoring and Evaluation
(DPME)",The second edition COIVD-19 Country report,GTAC,increase in the scope of work,"R 806 400,00","R 185 520,00",R-,2023/12/16,2023/02/16,2023/12/31,Reported
256,Q4 2023/24,2023/12/27,National Youth Development Agency (NYDA),Bloemfontein Office Lease Agreement,Vukile Property Fund Limited,"To allow the Tender process to conclude and ample time for internal installation in the space to
be provided by the successful bidder.","R 553 909,00","R 5 639 539,04","R 443 127,20",2023/11/30,2023/12/01,2024/04/30,Reported
257,Q4 2023/24,2023/12/27,National Youth Development Agency (NYDA),eMalahleni Office Lease Agreement,MPH Properties and Projects,"To allow the Tender process to conclude and ample time for internal installation in the space to
be provided by the successful bidder.","R 762 000,00","R 5 477 007,77","R 360 000,00",2023/11/29,2023/12/01,2024/05/31,Reported
258,Q4 2023/24,2023/12/27,National Youth Development Agency (NYDA),Secunda Office Lease Agreement,Tribugenix,"To allow the Tender process to conclude and ample time for internal installation in the space to
be provided by the successful bidder.","R 1 143 338,94","R 8 350 188,50","R 754 225,96",2023/11/29,2023/12/01,2024/05/31,Reported
259,Q4 2023/24,2024/01/30,Overberg Water Board,"Professional Service Provider For The Selection & Implementation Of
An Enterprise Resource Planning (ERP) System For Overberg Water
Board For A Period Of 36 Months",OS Holding,"Service is still required ,the implementation and support for ERP system and funds from the
original contract value are still available.","R 6 287 477,52","R 943 121,63",R-,2020/11/17,2020/11/17,2024/11/25,Reported
260,Q4 2023/24,2024/01/30,Overberg Water Board,"Provision of Legal advisory and Litigation services to Overberg Water
Board",Mamatela Incl,"Service is still required and the funds from the original contract value are availble,Overberg still
has outstanding litigations.","R 1 000 000,00","R 10 000 000,00",R-,2020/01/21,2020/01/22,2024/01/31,Reported
261,Q4 2023/24,2024/01/30,Overberg Water Board,Office accommodation for a period of 5 Years,Unlifield Investments (Pty) Ltd,"Service is still required, OWB has followed the procurement process of tendering three
attempts for new office space and none of the bidders qualified therefore OWB has to remain
on the current offices till the procurement process is completed for new offices","R 4 642 444,20","R 1 000 000,00","R 617 290,10",2018/04/01,2018/04/02,2024/06/30,Reported
262,Q4 2023/24,2024/01/25,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Cargo Handling Facilities - Harbour Cost,Transnet,Increase in rates,"R 8 210 568,40","R 58 075 137,00","R 190 938 129,47",2024/01/25,2024/01/19,2024/01/19,Reported
263,Q4 2023/24,2024/02/02,"Petroleum, Oil and Gas Corporation of South Africa
(PetroSA)",Platform Supply Vessel,African Marine Solutions Group,Operational requirement,"R 9 671 276,92","R 25 800 030,00","R 60 189 020,00",2024/01/11,2024/01/02,2024/01/21,Reported
264,Q4 2023/24,2024/01/26,Railway Safety Regulator (RSR),IRSC Sponsorship Dinner,Tlhari Smart Travel and Tours,Additional funds for ten (10) additional sponsors,"R 40 744,00","R 219 684,00",R-,2023/07/11,once off,once off,Reported
265,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Cape Town Regional Office lease,Thibault Investments (Pty)Ltd,"A variation of lease agreement for the Cape Town Regional Office on a month-to-month basis
for a period not exceeding twelve (12) months from the 1st to allow finalise the new space
requirements in line with the new operating model","R 21 012 761,96","R 43 278 570,00","R 49 923 475,02",2023/12/01,2017/07/01,2021/10/31,Reported
266,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),East London Regional Office lease,Eagle House (Pty) Ltd,"A variation of lease agreement for the East London Regional Office on a month-to-month basis
for a period not exceeding twelve (12) months from the 1st to allow finalise the new space
requirements in line with the new operating model","R 13 741 386,57","R 34 609 488,18","R 45 108 818,15",2023/12/01,2014/04/01,2024/10/31,Reported
267,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Configuration and Maintainanceof Enterprise Network C3 Switches,Bytes Systems Integration,"An extension of contract for a period of six (6) months to allow for finalisation of the
procurement process according to the submitted procurement plan.","R 1 000 000,00","R 9 557 680,72",R-,2023/12/01,2018/12/17,2024/06/16,Reported
268,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Courier services,"Skynet SA (Pty) Ltd
Madibana (Pty) Ltd","C o n t i n u a t i o n a n d e x t e n s i o n o f t h e c o n t r a c t f o r a p e r i o d o f f o u r ( 4 ) m o n t h s , o n t h e s a m e t e r m s
and conditions as per the extension by National Treasury of RT05-2020","R 1 0 0 0 0 0 0 , 0 0","R 7 0 0 0 0 0 0 , 0 0",R -,2 0 2 3 /12/01,2021/01/01,2024/03/31,Reported
269,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Telecommunication Services,Telkom,"Scope variation for the contract between RAF and Telkom SA for the HSCs and the shared-call
voice services for the remainder of the contract.","R 800 000,00","R 24 000 000,00",R-,2023/12/01,2023/12/19,2014/12/30,Reported
270,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Cloud Migration,Amazon Web Services SA (Pty) Ltd (AWS),"The Board approved the following services which will enable the RAF to achieve it's
organisational goals to improve customer service: 1. The extension of Enterprise Agreement
Services Order one (SO1) for an additional period of three (3) years and six (6) months. 2. The
addition of Service Order two (SO2) to the Enterprise Agreement for additional services
(utilities) which are necessary for the cloud migration project, and which are not already
provided for under Service Order Addendum No. 1. 3. The addition of Service Order three
(SO3) to the Enterprise Agreement for Oracle Database requirements for Project Bokamoso,
provisioned by AWS.","R 187 510 545,00","R 20 000 000,00",R-,2023/12/01,2023/12/13,2030/03/30,Reported
271,Q4 2023/24,2024/02/05,Road Accident Fund (RAF),Mobile communication services,Vodacom,"The Board approved the contract scope variation for addition of iPads on the RT15-2021
transversal contract as signed between the Road Accident Fund (RAF) and Vodacom (Pty) Ltd
to enable procurement of tablets.","R 3 500 000,00","R 60 000 000,00","R 28 985 382,14",2023/12/01,2013/12/13,2026/03/31,Reported
272,Q4 2023/24,2024/02/06,Department of Basic Education (DBE),Supply of Mimecast services to the Department of Basic Education,SMS ICT Choice (Pty) Ltd,"To give the State Information Technology Agency (SITA) time to procure the new service
provider which will supply the DBE with Mimecast Services.","R 36 245,70","R 1 304 845,20","R 326 211,30",2023/06/21,2024/01/01,2024/01/31,Reported
273,Q4 2023/24,2024/02/08,Air Traffic and Navigation Services (ATNS),"ATA Flowcentric Learning Management System (LMS) support from
01 February 2024 to 31 August 2024",Flowcentric Technologies,Business continuity until a new system is handed over,"R 179 808,02","R 325 204,82","R 616 484,64",2024/01/26,2024/02/01,2024/08/31,Reported
274,Q4 2023/24,2024/02/09,Road Traffic Management Corporation (RTMC),Lease of Eco Park office accommodation for a period of 3 months,JR209 Investments,"RTMC still deciding to house all staff on one building as well as possibility of merging the
RTMC with DLCA. The tender was advertised on 09 January 2024 and not yet awarded.","R 3 438 466,56","R 13 753 866,24","R 13 753 866,24",2024/02/01,2024/04/01,2024/06/30,Reported
275,Q4 2023/24,2024/02/09,Road Traffic Management Corporation (RTMC),"Lease of Waterfall Howick Close office accommodation for a period of
3 months",Prominent Properties,"RTMC still deciding to house all staff on one building as well as possibility of merging the
RTMC with DLCA. The tender was advertised on 09 January 2024 and not yet awarded.","R 2 110 110,56","R 8 266 212,94","R 8 266 212,94",2024/02/01,2024/04/01,2024/06/30,Reported
276,Q4 2023/24,2024/02/09,Road Traffic Management Corporation (RTMC),"Lease of Waterfall Edge office accommodation for a period of 3
months",Axis Properties,"RTMC still deciding to house all staff on one building as well as possibility of merging the
RTMC with DLCA. The tender was advertised on 09 January 2024 and not yet awarded.","R 406 614,08","R 1 950 017,28","R 1 950 017,28",2024/02/01,2024/04/01,2024/06/30,Reported
277,Q4 2023/24,2024/02/09,Road Traffic Management Corporation (RTMC),"Lease of Waterfall South office accommodation for a period of 3
months",Mowana Properties,"RTMC still deciding to house all staff on one building as well as possibility of merging the
RTMC with DLCA. The tender was advertised on 09 January 2024 and not yet awarded.","R 406 614,08","R 1 278 312,42","R 1 278 312,42",2024/02/01,2024/04/01,2024/06/30,Reported
278,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),ERP,Altron,Extension of existing contract,"R 6 172 523,00","R 25 767 130,00",R-,2024/02/07,Not stated,2026/06/30,Reported
279,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),Printing services,Ricoh South Africa,Extension of existing contract,"R 2 786 553,00","R 6 030 957,00",R-,2024/02/07,Not stated,2024/10/31,Reported
280,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),Bi developer services,Gijima Holdings SA,Extension of existing contract,"R 1 265 863,00","R 2 608 480,00",R-,2024/02/07,Not stated,2024/03/31,Reported
281,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),CSP Contract D365 connector,Gijima Holdings SA,Extension of existing contract,"R 85 846,00","R 70 415 247,00","R 8 410 688,00",2024/02/07,2023/09/07,2024/09/30,Reported
282,Q4 2023/24,2024/02/07,Perishable Products Export Control Board (PPECB),Microsoft Enterprise agreement,Microsoft Ireland Operations Ltd,Extension of existing contract,"R 398 915,00","R 3 318 871,00","R 585 289,00",2024/02/07,2023/11/22,2025/12/31,Reported
