row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,
584,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Van Neel Projects,"R 27 770,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
585,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 18 160,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
586,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 31 690,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
587,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 22 285,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
588,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 18 130,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
589,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 13 620,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
590,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 13 620,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
591,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 9 140,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
592,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Msakazama Events,"R 18 100,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
593,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 15 905,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
594,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
595,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 30 445,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
596,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 13 590,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
597,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 13 590,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
598,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 65 965,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
599,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 6 765,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
600,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 6 855,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
601,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
602,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 14 570,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
603,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 46 320,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
604,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 46 320,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
605,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 54 480,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
606,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 20 445,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
607,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 4 510,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
608,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 4 510,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
609,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 57 390,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
610,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 6 765,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
611,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 6 765,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
612,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 11 395,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
613,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 11 395,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
614,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 6 795,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
615,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 16 825,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/22,Not Indicated,Not Indicated,,
616,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Msakazama Events,"R 114 250,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
617,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Msakazama Events,"R 46 905,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
618,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",BJM Holdings,"R 112 750,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
619,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 45 250,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
620,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 64 925,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
621,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Andwekazi Trading,"R 112 750,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/09/29,Not Indicated,Not Indicated,,
622,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Langley's Catering,"R 45 250,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
623,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Come Again General Trading,"R 22 760,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
624,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Come Again General Trading,"R 6 825,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
625,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Come Again General Trading,"R 41 750,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
626,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sibotembi,"R 66 055,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
627,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sibotembi,"R 23 650,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
628,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Sibotembi,"R 11 395,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
629,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 38 665,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
630,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 40 800,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
631,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 29 555,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
632,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 36 290,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
633,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 18 190,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
634,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 24 895,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
635,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 44 155,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
636,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 11 335,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
637,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 13 650,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
638,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
639,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 23 710,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
640,Q3 2023/24,2023/10/12,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Ntange Construction,"R 23 650,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/09,Not Indicated,Not Indicated,,
641,Q3 2023/24,2023/10/27,South African Social Security Agency (SASSA),Skills Development: Training & Staff Development,"Public Service and Administration - National School of
Governement","R 393 960,00",Deviation for normal bids procedure as per SCM delegation 3.14,2023/10/11,Not Indicated,Not Indicated,,
642,Q3 2023/24,2023/10/27,South African Social Security Agency (SASSA),Skills Development: Training & Staff Development,"Public Service and Administration - National School of
Governement","R 393 960,00",Deviation for normal bids procedure as per SCM delegation 3.14,2023/10/11,Not Indicated,Not Indicated,,
643,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),Procurement of Advertising Space,Arena Holdings,"R 27 600,00","Advertising in the media (Daily Dispatch and The Herald newspapers) will assist the
Agency to reach all Service Providers in areas within the Eastern Cape, especially
those areas where there is no access to internet to retrieve advertisements
electronically. The aim is to provide an equal opportunity to all in the Province to be
aware of bids advertised and through this process, ensure that a greater number of
bids are received for projects advertised. The Marketing company Arena Holdings is
one of Africa's largest English-language news publishers in print. They own a
number of newspapers which includes Daily Dispatch and EC Herald",2023/09/05,2023/09/07,2023/09/07,,
644,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),ACFE 16th Annual Afircan Fraud Conference & Exhibitoin,ACFE,"R 72 450,00","The ACFE (Association of Certified Fraud Examiners) is the worlds largest anti-fraud
organisation and premier provider of anti-fraud training and education. Together with
more the 85 000 members the ACFE is reducing business fraud worldwide and
inspiring public confidence in the integrigy and ovjectivity of the profession. The
Annual ACFE Africa Conference & Exhibition is recognized as the largest Anti-Fraud
event in Africa and second largest in the world. Attending the conference is an ideal
opportunity to expand network and share skills with fellow practitioners in an effort to
join the global fight against fraud and minimise the impact of fraud and corruption.
The ACFE is the sole provider of the 16th annual ACFE African Conference and
Exhibition 2023.",2023/09/05,2023/09/13,2023/09/15,,
645,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),Procurement of Media Space,Eastern Cape Community Radio Forum,"R 59 065,50","First Semester report from Core Business, Grants Administration indicate a serious
lack of meeting targets in the CSG Top-Up intake. The Communication Unit, decided
in support of Grant Administartion on flighitng of adverts on all identified hotspots in
Districts which include OR Tambo, Sarah Baartman, Nelson Mandela Metro,
Amathole, Alfred Nzo, Joe Gqabi and Chris Hani. The Unit will team up with radio
stations that forms part of the Eastern Cape Community Radio Forum with the
identification of radio stations that cover and overlap to other Districts. The Eastern
Cape Community Radio Forum is the Sole Supplier that is responsible for the
administration of 16 Radio Stations across the Eastern Cape Districts",2023/09/12,2023/10/09,2023/10/13,,
646,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),Procurement of Media Space,Eastern Cape Community Radio Forum,"R 139 000,00","First Semester report from Core Business, Grants Administration indicate a serious
lack of meeting targets in the CSG Top-Up intake, 0-1 child support grant
applications and SRD for School Children. The Communication Unit, decided in
support of Grant Administartion on flighitng of adverts on all identified hotspots in
Districts which include OR Tambo, Sarah Baartman, Nelson Mandela Metro,
Amathole, Alfred Nzo, Joe Gqabi and Chris Hani. The Unit will team up with radio
stations that forms part of the Eastern Cape Community Radio Forum with the
identification of radio stations that cover and overlap to other Districts. The Eastern
Cape Community Radio Forum is the Sole Supplier that is responsible for the
administration of 16 Radio Stations across the Eastern Cape Districts",2023/08/15,2023/09/28,2023/09/28,,
647,Q3 2023/24,2023/10/24,South African Social Security Agency (SASSA),EAPA-SA Eduweek 2023,"EAPA -SA (Employee Assistance Professionals Association
of South Africa)","R 25 198,00","The EAPA is a non-profit organisation which strives to represent the interests of
those involved in the field of Employee Assistance Programmes and wellness.
Furthermore, EAPA-SA is an accredited professional body with the South African
Qualification Authoirty (SAQA) and is an affiliate of EAPA International. EAPA-SA
has been providing this services for more than a decade, this assist in uplifitng of the
work environment. The EAPS-SA Eduweek provides a platform to learn from experts
in te field as well as keeping abreast with the latest develpmnets in the field. Also to
receive training aligned to the identified skills as reflected in the employee's personal
development plan for 2023/24. For Employee Wellness, this is the only association
that exists in SA for professionals to be trained on recent developments.",2023/09/04,2023/09/18,2023/09/21,,
648,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,"R 15 875,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
649,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,"R 15 965,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
650,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,"R 90 800,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
651,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",JB Catering Services,"R 48 635,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
652,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Come Again General Trading,"R 15 905,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
653,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Hero Trade PTY LTD,"R 113 205,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/31,Not Indicated,Not Indicated,,
654,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),Ugent carpet cleaning exercise in SASSA Head Office,Medilac,"R 851,18","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,Not Indicated,Not Indicated,,
655,Q3 2023/24,2023/11/03 South African Social Security Agency (SASSA),,Renewal of SSL Licences,Altron,"R 5 362,09","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/20,"Not Indicated
Not Indicated",Not Indicated,,
656,Q3 2023/24,2023/11/03,South African Social Security Agency (SASSA),Training and staff development,Moki Business Solutions,"R 14 999,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/10/24,,Not Indicated,,
657,Q3 2023/24,2023/11/10,South African Social Security Agency (SASSA),Procure annual software maintenance for Adselfservice licences,ITR Technology,"R 310 571,88",sole supplier,2023/11/07,2023/07/15,2026/07/14,,
658,Q3 2023/24,2023/12/04,South African Social Security Agency (SASSA),Procurement of Postage Services,South African Post Office,"R 70 000 000,00",sole supplier,2023/11/26,2023/12/01,2023/12/30,,
659,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Zisithemba Trading,"R 155 280,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/09,Once off delivery,Not Indicated,,
660,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holdings,"R 46 920,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
661,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holdings,"R 13 650,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
662,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Uqobo Holdings,"R 9 080,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
663,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nade Holdings,"R 43 145,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
664,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nade Holdings,"R 11 305,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
665,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Nade Holdings,"R 15 905,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
666,Q3 2023/24,2023/12/06,South African Social Security Agency (SASSA),"Supply and delivery of meals,blankets, matrass and dignity packs",Inzalo Property Development,"R 13 620,00","Deviation,Emergency case as per SCM delegation 3.20 when there is a serious and
unexpected situation that poses an immediate risk to health, life, property or
environment.",2023/11/17,Once off delivery,Not Indicated,,
